DATE_TIME,HIGH,LOW,OPEN,CLOSE
2018.01.02 00:00:00,1.53898,1.5374,1.53766,1.53884
2018.01.02 00:15:00,1.53899,1.53772,1.53899,1.53816
2018.01.02 00:30:00,1.53965,1.53796,1.53818,1.53903
2018.01.02 00:45:00,1.53913,1.53643,1.53902,1.53692
2018.01.02 01:00:00,1.53892,1.53677,1.53739,1.53844
2018.01.02 01:15:00,1.54,1.53838,1.53869,1.53976
2018.01.02 01:30:00,1.5407,1.53938,1.53975,1.54036
2018.01.02 01:45:00,1.54042,1.53951,1.54025,1.53976
2018.01.02 02:00:00,1.53963,1.53915,1.53919,1.53961
2018.01.02 02:15:00,1.53991,1.53906,1.53953,1.53916
2018.01.02 02:30:00,1.53913,1.53792,1.53911,1.53792
2018.01.02 02:45:00,1.53802,1.53738,1.53791,1.53776
2018.01.02 03:00:00,1.53826,1.53747,1.53777,1.53762
2018.01.02 03:15:00,1.53799,1.53729,1.53761,1.53731
2018.01.02 03:30:00,1.53727,1.53615,1.53718,1.53654
2018.01.02 03:45:00,1.53691,1.53579,1.53579,1.53641
2018.01.02 04:00:00,1.53668,1.53541,1.53667,1.53551
2018.01.02 04:15:00,1.53606,1.53525,1.5355,1.53529
2018.01.02 04:30:00,1.53592,1.53518,1.53553,1.53526
2018.01.02 04:45:00,1.53536,1.53475,1.53525,1.53522
2018.01.02 05:00:00,1.53562,1.53467,1.53521,1.53494
2018.01.02 05:15:00,1.53499,1.53411,1.53466,1.53485
2018.01.02 05:30:00,1.53482,1.53433,1.53477,1.53442
2018.01.02 05:45:00,1.53448,1.53314,1.53445,1.53322
2018.01.02 06:00:00,1.53378,1.53313,1.53314,1.53378
2018.01.02 06:15:00,1.5344,1.53361,1.53375,1.53415
2018.01.02 06:30:00,1.53423,1.53384,1.53416,1.53396
2018.01.02 06:45:00,1.53397,1.53343,1.53397,1.53355
2018.01.02 07:00:00,1.53342,1.5325,1.53338,1.53268
2018.01.02 07:15:00,1.5328,1.53215,1.53262,1.53275
2018.01.02 07:30:00,1.53341,1.53286,1.53288,1.53319
2018.01.02 07:45:00,1.53388,1.53293,1.53308,1.53374
2018.01.02 08:00:00,1.53445,1.53367,1.53375,1.53435
2018.01.02 08:15:00,1.5347,1.53407,1.53436,1.53417
2018.01.02 08:30:00,1.53478,1.5339,1.53418,1.53471
2018.01.02 08:45:00,1.53471,1.53372,1.5347,1.5343
2018.01.02 09:00:00,1.53453,1.53338,1.5343,1.53338
2018.01.02 09:15:00,1.53466,1.53283,1.53338,1.53461
2018.01.02 09:30:00,1.53549,1.53431,1.5346,1.53521
2018.01.02 09:45:00,1.53612,1.53491,1.53522,1.53607
2018.01.02 10:00:00,1.53696,1.53586,1.53606,1.53668
2018.01.02 10:15:00,1.53702,1.53619,1.53668,1.53694
2018.01.02 10:30:00,1.53713,1.53535,1.53695,1.53596
2018.01.02 10:45:00,1.53688,1.53571,1.53597,1.53654
2018.01.02 11:00:00,1.53676,1.53615,1.53653,1.53629
