DATE_TIME,HIGH,LOW,OPEN,CLOSE
2018.01.02 00:00:00,1.50635,1.50328,1.50328,1.5062
2018.01.02 00:15:00,1.50571,1.50536,1.50536,1.50549
2018.01.02 00:30:00,1.5067,1.50561,1.50561,1.50666
2018.01.02 00:45:00,1.50695,1.50661,1.50668,1.50689
2018.01.02 01:00:00,1.50844,1.50728,1.50728,1.50843
2018.01.02 01:15:00,1.50859,1.50794,1.50842,1.50821
2018.01.02 01:30:00,1.50826,1.50754,1.50823,1.50754
2018.01.02 01:45:00,1.50789,1.50746,1.50746,1.50789
2018.01.02 02:00:00,1.50802,1.5075,1.50755,1.50778
2018.01.02 02:15:00,1.50817,1.50749,1.50783,1.50757
2018.01.02 02:30:00,1.50754,1.507,1.50752,1.50701
2018.01.02 02:45:00,1.50731,1.50672,1.50699,1.50728
2018.01.02 03:00:00,1.508,1.50727,1.50727,1.50788
2018.01.02 03:15:00,1.50795,1.50762,1.50787,1.50766
2018.01.02 03:30:00,1.5076,1.50682,1.50759,1.5071
2018.01.02 03:45:00,1.50709,1.50674,1.50697,1.50684
2018.01.02 04:00:00,1.5071,1.50659,1.50693,1.50659
2018.01.02 04:15:00,1.50672,1.5065,1.50667,1.5066
2018.01.02 04:30:00,1.50693,1.5064,1.50664,1.50645
2018.01.02 04:45:00,1.50671,1.5063,1.50641,1.50653
2018.01.02 05:00:00,1.50694,1.50652,1.50652,1.50676
2018.01.02 05:15:00,1.507,1.50643,1.50687,1.5066
2018.01.02 05:30:00,1.50657,1.50609,1.50649,1.50626
2018.01.02 05:45:00,1.50617,1.50554,1.50616,1.50554
2018.01.02 06:00:00,1.50588,1.50559,1.50562,1.50588
2018.01.02 06:15:00,1.50649,1.50574,1.50581,1.50644
2018.01.02 06:30:00,1.5065,1.50615,1.50643,1.50626
2018.01.02 06:45:00,1.50625,1.50613,1.5062,1.50623
2018.01.02 07:00:00,1.50614,1.5058,1.50613,1.50589
2018.01.02 07:15:00,1.50598,1.50576,1.50587,1.50583
2018.01.02 07:30:00,1.50639,1.50588,1.5059,1.50609
2018.01.02 07:45:00,1.50675,1.50609,1.5061,1.50675
2018.01.02 08:00:00,1.50733,1.50671,1.50674,1.50727
2018.01.02 08:15:00,1.50757,1.50697,1.50727,1.50716
2018.01.02 08:30:00,1.50718,1.50671,1.50716,1.50707
2018.01.02 08:45:00,1.50716,1.50658,1.50705,1.50681
2018.01.02 09:00:00,1.50694,1.50583,1.50681,1.50594
2018.01.02 09:15:00,1.507,1.50551,1.50595,1.50679
2018.01.02 09:30:00,1.50811,1.50632,1.50677,1.50796
2018.01.02 09:45:00,1.5084,1.50733,1.50798,1.50756
2018.01.02 10:00:00,1.50856,1.50739,1.50757,1.50836
2018.01.02 10:15:00,1.50895,1.50807,1.50836,1.50884
2018.01.02 10:30:00,1.50896,1.50777,1.50886,1.50825
2018.01.02 10:45:00,1.5089,1.50797,1.50823,1.50866
2018.01.02 11:00:00,1.50887,1.50834,1.50865,1.50869
2018.01.02 11:15:00,1.50915,1.50866,1.50869,1.50882
2018.01.02 11:30:00,1.51049,1.50871,1.50881,1.51028
2018.01.02 11:45:00,1.51242,1.51024,1.5103,1.51242
2018.01.02 12:00:00,1.51331,1.5123,1.51242,1.51318
2018.01.02 12:15:00,1.51325,1.51209,1.51318,1.51303
2018.01.02 12:30:00,1.5141,1.51282,1.51304,1.5137
2018.01.02 12:45:00,1.51384,1.5125,1.51371,1.51302
2018.01.02 13:00:00,1.51352,1.51251,1.51302,1.51266
2018.01.02 13:15:00,1.51403,1.51247,1.51266,1.51398
2018.01.02 13:30:00,1.51409,1.51285,1.51396,1.51297
2018.01.02 13:45:00,1.51329,1.51226,1.51295,1.51321
