,Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,ATTR,Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,a,s
1011,AUDUSD,15,0.0002,65,15,600,96,376,0.2,4.333333333,520,1,AUDUSD,15,0.0002,65,15,575,46,161,0.22,4.333333333,548.1666667,25,1068.166667
1039,AUDUSD,15,0.0002,68,53,919,86,93,0.48,1.283018868,565.965283,5.08,AUDUSD,15,0.0002,68,53,744,39,36,0.52,1.283018868,496.3743396,175,1062.339623
1404,AUDUSD,15,0.0002,77,31,1031,77,158,0.33,2.483870968,845.0874194,4.64,AUDUSD,15,0.0002,77,31,277,35,78,0.31,2.483870968,213.29,754,1058.377419
1589,AUDUSD,15,0.0002,68,31,1165,96,173,0.36,2.193548387,919.9741935,4.64,AUDUSD,15,0.0002,68,31,184,41,84,0.33,2.193548387,133.1922581,981,1053.166452
1168,AUDUSD,15,0.0002,78,21,795,74,237,0.24,3.714285714,708.6857143,2.76,AUDUSD,15,0.0002,78,21,384,34,108,0.24,3.714285714,342.3085714,411,1050.994286
1256,AUDUSD,15,0.0002,61,21,918,108,270,0.29,2.904761905,773.3057143,2.78,AUDUSD,15,0.0002,61,21,341,50,129,0.28,2.904761905,277.3466667,577,1050.652381
1161,AUDUSD,15,0.0002,54,36,1062,131,167,0.44,1.5,700.92,3.6,AUDUSD,15,0.0002,54,36,522,61,77,0.44,1.5,344.52,540,1045.44
1461,AUDUSD,15,0.0002,80,31,1030,71,150,0.32,2.580645161,850.5806452,4.52,AUDUSD,15,0.0002,80,31,248,31,72,0.3,2.580645161,192,782,1042.580645
1493,AUDUSD,15,0.0002,66,31,1117,101,179,0.36,2.129032258,856.1264516,3.92,AUDUSD,15,0.0002,66,31,246,46,90,0.34,2.129032258,178.0722581,871,1034.19871
1045,AUDUSD,15,0.0002,67,16,631,93,350,0.21,4.1875,554.885625,1.43,AUDUSD,15,0.0002,67,16,519,45,156,0.22,4.1875,478.12875,112,1033.014375
1095,AUDUSD,15,0.0002,67,17,722,94,328,0.22,3.941176471,626.0164706,1.48,AUDUSD,15,0.0002,67,17,448,45,151,0.23,3.941176471,406.0988235,274,1032.115294
1467,AUDUSD,15,0.0002,65,31,1115,103,180,0.36,2.096774194,841.6451613,3.56,AUDUSD,15,0.0002,65,31,265,47,90,0.34,2.096774194,188.9193548,850,1030.564516
1331,AUDUSD,15,0.0002,62,31,1054,110,186,0.37,2,779.96,3.41,AUDUSD,15,0.0002,62,31,341,52,93,0.36,2,245.52,713,1025.48
