,Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,ATTR,Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,a,s
1173,AUDUSD,15,0.0002,65,48,960,96,110,0.47,1.354166667,611,5.11,AUDUSD,15,0.0002,65,48,522,42,46,0.48,1.354166667,339.3,438,950.3
1202,AUDUSD,15,0.0002,78,20,690,75,258,0.23,3.9,618.93,2.54,AUDUSD,15,0.0002,78,20,350,35,119,0.23,3.9,313.95,340,932.88
1258,AUDUSD,15,0.0002,76,20,748,78,259,0.23,3.8,653.752,2.08,AUDUSD,15,0.0002,76,20,316,36,121,0.23,3.8,276.184,432,929.936
1544,AUDUSD,15,0.0002,57,25,1000,125,245,0.34,2.28,775.2,2.88,AUDUSD,15,0.0002,57,25,206,58,124,0.32,2.28,150.2976,794,925.4976
1335,AUDUSD,15,0.0002,62,47,1075,103,113,0.48,1.319148936,680.6808511,5.32,AUDUSD,15,0.0002,62,47,393,45,51,0.47,1.319148936,243.66,682,924.3408511
1125,AUDUSD,15,0.0002,68,52,888,88,98,0.47,1.307692308,545.7784615,4.4,AUDUSD,15,0.0002,68,52,588,40,41,0.49,1.307692308,376.7723077,300,922.5507692
1431,AUDUSD,15,0.0002,53,23,943,138,277,0.33,2.304347826,717.09,2.08,AUDUSD,15,0.0002,53,23,273,62,131,0.32,2.304347826,201.3078261,670,918.3978261
1695,AUDUSD,15,0.0002,67,31,1048,98,178,0.36,2.161290323,815.4116129,4.28,AUDUSD,15,0.0002,67,31,122,43,89,0.33,2.161290323,87.01354839,926,902.4251613
1061,AUDUSD,15,0.0002,68,16,504,90,351,0.2,4.25,428.4,0.8,AUDUSD,15,0.0002,68,16,480,44,157,0.22,4.25,448.8,24,877.2
1236,AUDUSD,15,0.0002,77,21,658,74,240,0.24,3.666666667,579.04,2.52,AUDUSD,15,0.0002,77,21,329,34,109,0.24,3.666666667,289.52,329,868.56
1100,AUDUSD,15,0.0002,76,22,562,76,237,0.24,3.454545455,465.9490909,1.52,AUDUSD,15,0.0002,76,22,448,36,104,0.26,3.454545455,402.3854545,114,868.3345454
1150,AUDUSD,15,0.0002,65,17,607,98,339,0.22,3.823529412,510.5941176,1.04,AUDUSD,15,0.0002,65,17,406,46,152,0.23,3.823529412,357.0411765,201,867.6352941
1190,AUDUSD,15,0.0002,69,54,882,84,91,0.48,1.277777778,540.96,5.04,AUDUSD,15,0.0002,69,54,516,38,39,0.49,1.277777778,323.0733333,366,864.0333333
1356,AUDUSD,15,0.0002,53,36,965,133,169,0.44,1.472222222,625.1055556,3.16,AUDUSD,15,0.0002,53,36,372,60,78,0.43,1.472222222,235.4966667,593,860.6022223
1120,AUDUSD,15,0.0002,71,48,732,84,109,0.44,1.479166667,476.41,4.36,AUDUSD,15,0.0002,71,48,561,39,46,0.46,1.479166667,381.71375,171,858.12375
1237,AUDUSD,15,0.0002,61,50,939,99,102,0.49,1.22,561.3342,4.39,AUDUSD,15,0.0002,61,50,473,43,43,0.5,1.22,288.53,466,849.8642
1368,AUDUSD,15,0.0002,62,48,996,102,111,0.48,1.291666667,617.52,4.8,AUDUSD,15,0.0002,62,48,376,44,49,0.47,1.291666667,228.2633333,620,845.7833333
1460,AUDUSD,15,0.0002,70,31,851,87,169,0.34,2.258064516,653.3483871,3.34,AUDUSD,15,0.0002,70,31,258,40,82,0.33,2.258064516,192.2516129,593,845.6
1179,AUDUSD,15,0.0002,69,53,835,82,91,0.47,1.301886792,510.9254717,4.34,AUDUSD,15,0.0002,69,53,523,36,37,0.49,1.301886792,333.6345283,312,844.56
1417,AUDUSD,15,0.0002,49,36,1001,149,175,0.46,1.361111111,626.7372222,3.1,AUDUSD,15,0.0002,49,36,341,65,79,0.45,1.361111111,208.8625,660,835.5997222
1184,AUDUSD,15,0.0002,64,49,822,94,106,0.47,1.306122449,504.6073469,4.11,AUDUSD,15,0.0002,64,49,517,41,43,0.49,1.306122449,330.88,305,835.4873469
1327,AUDUSD,15,0.0002,55,22,759,127,283,0.31,2.5,588.225,1.87,AUDUSD,15,0.0002,55,22,319,59,133,0.31,2.5,247.225,440,835.45
1233,AUDUSD,15,0.0002,77,25,652,76,208,0.27,3.08,542.2032,2.54,AUDUSD,15,0.0002,77,25,349,37,100,0.27,3.08,290.2284,303,832.4316
1447,AUDUSD,15,0.0002,61,48,1016,104,111,0.48,1.270833333,619.76,4.32,AUDUSD,15,0.0002,61,48,332,44,49,0.47,1.270833333,198.3008333,684,818.0608333
1254,AUDUSD,15,0.0002,78,24,636,74,214,0.26,3.25,537.42,2.52,AUDUSD,15,0.0002,78,24,330,35,100,0.26,3.25,278.85,306,816.27
1113,AUDUSD,15,0.0002,66,50,690,90,105,0.46,1.32,418.968,3.36,AUDUSD,15,0.0002,66,50,606,41,42,0.49,1.32,391.9608,84,810.9288
1209,AUDUSD,15,0.0002,62,62,930,94,79,0.54,1,502.2,4.96,AUDUSD,15,0.0002,62,62,558,46,37,0.55,1,306.9,372,809.1
1536,AUDUSD,15,0.0002,62,32,906,107,179,0.37,1.9375,649.48875,2.78,AUDUSD,15,0.0002,62,32,222,49,88,0.36,1.9375,154.845,684,804.33375
1110,AUDUSD,15,0.0002,70,53,673,77,89,0.46,1.320754717,408.8792453,3.58,AUDUSD,15,0.0002,70,53,595,35,35,0.5,1.320754717,392.9245283,78,801.8037736
1196,AUDUSD,15,0.0002,71,23,586,86,240,0.26,3.086956522,470.3286957,1.44,AUDUSD,15,0.0002,71,23,383,42,113,0.27,3.086956522,319.2221739,203,789.5508696
1608,AUDUSD,15,0.0002,74,25,793,82,211,0.28,2.96,657.2384,2.72,AUDUSD,15,0.0002,74,25,162,38,106,0.26,2.96,124.6752,631,781.9136
1396,AUDUSD,15,0.0002,60,21,705,108,275,0.28,2.857142857,564,1.68,AUDUSD,15,0.0002,60,21,270,50,130,0.28,2.857142857,216,435,780
1121,AUDUSD,15,0.0002,67,55,671,88,95,0.48,1.218181818,392.352,3.56,AUDUSD,15,0.0002,67,55,614,42,40,0.51,1.218181818,381.4614545,57,773.8134545
1176,AUDUSD,15,0.0002,64,17,522,99,342,0.22,3.764705882,432.3388235,0.82,AUDUSD,15,0.0002,64,17,390,47,154,0.23,3.764705882,337.6941176,132,770.0329411
1296,AUDUSD,15,0.0002,77,20,595,75,259,0.22,3.85,503.965,1.34,AUDUSD,15,0.0002,77,20,295,35,120,0.23,3.85,261.2225,300,765.1875
1621,AUDUSD,15,0.0002,59,21,791,112,277,0.29,2.80952381,644.4766667,2.2,AUDUSD,15,0.0002,59,21,157,50,133,0.27,2.80952381,119.0957143,634,763.572381
1700,AUDUSD,15,0.0002,54,25,890,135,256,0.35,2.16,672.84,2.65,AUDUSD,15,0.0002,54,25,123,62,129,0.32,2.16,85.0176,767,757.8576
1189,AUDUSD,15,0.0002,62,60,790,95,85,0.53,1.033333333,432.6566667,4.66,AUDUSD,15,0.0002,62,60,572,46,38,0.55,1.033333333,325.0866667,218,757.7433334
1562,AUDUSD,15,0.0002,61,47,986,104,114,0.48,1.29787234,614.2570213,4.84,AUDUSD,15,0.0002,61,47,240,44,52,0.46,1.29787234,143.2851064,746,757.5421277
1480,AUDUSD,15,0.0002,42,24,840,188,294,0.39,1.75,573.3,1.74,AUDUSD,15,0.0002,42,24,276,86,139,0.38,1.75,183.54,564,756.84
1535,AUDUSD,15,0.0002,74,24,714,81,220,0.27,3.083333333,594.405,2.46,AUDUSD,15,0.0002,74,24,194,37,106,0.26,3.083333333,155.5233333,520,749.9283333
1507,AUDUSD,15,0.0002,56,22,728,123,280,0.31,2.545454545,574.4581818,2.18,AUDUSD,15,0.0002,56,22,222,57,135,0.3,2.545454545,169.5272727,506,743.9854545
1288,AUDUSD,15,0.0002,63,49,791,95,106,0.47,1.285714286,477.99,3.64,AUDUSD,15,0.0002,63,49,427,41,44,0.48,1.285714286,263.52,364,741.51
1448,AUDUSD,15,0.0002,68,56,908,85,87,0.49,1.214285714,540.26,4.76,AUDUSD,15,0.0002,68,56,332,37,39,0.49,1.214285714,197.54,576,737.8
1588,AUDUSD,15,0.0002,74,21,712,80,248,0.24,3.523809524,602.1485714,1.8,AUDUSD,15,0.0002,74,21,165,36,119,0.23,3.523809524,133.7285714,547,735.8771428
1186,AUDUSD,15,0.0002,61,60,756,96,85,0.53,1.016666667,407.358,4.13,AUDUSD,15,0.0002,61,60,587,47,38,0.55,1.016666667,328.2308333,169,735.5888333
1332,AUDUSD,15,0.0002,62,50,802,96,103,0.48,1.24,477.3504,3.76,AUDUSD,15,0.0002,62,50,404,42,44,0.49,1.24,245.4704,398,722.8208
1344,AUDUSD,15,0.0002,64,48,784,97,113,0.46,1.333333333,480.8533333,3.52,AUDUSD,15,0.0002,64,48,384,42,48,0.47,1.333333333,240.64,400,721.4933333
1221,AUDUSD,15,0.0002,64,20,516,99,291,0.25,3.2,412.8,1,AUDUSD,15,0.0002,64,20,356,49,139,0.26,3.2,296.192,160,708.992
1459,AUDUSD,15,0.0002,79,21,558,69,233,0.23,3.761904762,482.8028571,2,AUDUSD,15,0.0002,79,21,223,31,106,0.23,3.761904762,192.9480952,335,675.7509523
1393,AUDUSD,15,0.0002,71,24,563,85,228,0.27,2.958333333,449.69625,1.65,AUDUSD,15,0.0002,71,24,271,41,110,0.27,2.958333333,216.46125,292,666.1575
1503,AUDUSD,15,0.0002,52,36,776,134,172,0.44,1.444444444,493.1911111,2.72,AUDUSD,15,0.0002,52,36,276,60,79,0.43,1.444444444,171.4266667,500,664.6177778
1484,AUDUSD,15,0.0002,73,23,581,82,235,0.26,3.173913043,479.4513043,1.96,AUDUSD,15,0.0002,73,23,221,38,111,0.26,3.173913043,182.3730435,360,661.8243478
1545,AUDUSD,15,0.0002,54,22,672,131,291,0.31,2.454545455,511.3309091,1.56,AUDUSD,15,0.0002,54,22,204,60,138,0.3,2.454545455,150.2181818,468,661.5490909
1622,AUDUSD,15,0.0002,61,20,648,108,297,0.27,3.05,533.628,1.87,AUDUSD,15,0.0002,61,20,150,50,145,0.26,3.05,118.95,498,652.578
1443,AUDUSD,15,0.0002,48,36,732,148,177,0.46,1.333333333,448.96,2.64,AUDUSD,15,0.0002,48,36,324,66,79,0.46,1.333333333,198.72,408,647.68
1468,AUDUSD,15,0.0002,72,23,548,83,236,0.26,3.130434783,446.0243478,1.7,AUDUSD,15,0.0002,72,23,232,39,112,0.26,3.130434783,188.8278261,316,634.8521739
1364,AUDUSD,15,0.0002,70,56,672,76,83,0.48,1.25,403.2,4.48,AUDUSD,15,0.0002,70,56,378,35,37,0.49,1.25,231.525,294,634.725
1717,AUDUSD,15,0.0003,69,34,1630,100,155,0.39,2.029411765,1290.097059,6.17,AUDUSD,15,0.0003,69,34,763,49,77,0.39,2.029411765,603.8920588,867,1893.989118
1731,AUDUSD,15,0.0003,72,34,1630,93,149,0.38,2.117647059,1311.670588,6.28,AUDUSD,15,0.0003,72,34,652,44,74,0.37,2.117647059,510.8611765,978,1822.531765
1726,AUDUSD,15,0.0003,68,34,1632,103,158,0.39,2,1272.96,5.78,AUDUSD,15,0.0003,68,34,680,49,78,0.39,2,530.4,952,1803.36
1744,AUDUSD,15,0.0003,70,34,1450,96,155,0.38,2.058823529,1134.411765,5.52,AUDUSD,15,0.0003,70,34,602,46,77,0.37,2.058823529,458.5823529,848,1592.994118
1758,AUDUSD,15,0.0003,71,34,1472,94,153,0.38,2.088235294,1168.075294,5.9,AUDUSD,15,0.0003,71,34,540,44,76,0.37,2.088235294,417.2294118,932,1585.304706
1721,AUDUSD,15,0.0003,55,25,1250,140,258,0.35,2.2,962.5,3,AUDUSD,15,0.0003,55,25,725,70,125,0.36,2.2,574.2,525,1536.7
1734,AUDUSD,15,0.0003,55,24,1302,138,262,0.34,2.291666667,1014.475,2.86,AUDUSD,15,0.0003,55,24,630,66,125,0.35,2.291666667,505.3125,672,1519.7875
1881,AUDUSD,15,0.0003,75,34,1486,86,146,0.37,2.205882353,1212.838235,6.33,AUDUSD,15,0.0003,75,34,327,37,72,0.34,2.205882353,245.25,1159,1458.088235
1817,AUDUSD,15,0.0003,49,36,1687,163,175,0.48,1.361111111,1102.173333,4.8,AUDUSD,15,0.0003,49,36,491,71,83,0.46,1.361111111,307.4205556,1196,1409.593889
1781,AUDUSD,15,0.0003,55,36,1506,138,169,0.45,1.527777778,1035.375,4.95,AUDUSD,15,0.0003,55,36,549,63,81,0.44,1.527777778,369.05,957,1404.425
1789,AUDUSD,15,0.0003,49,39,1619,158,157,0.5,1.256410256,1017.064103,5,AUDUSD,15,0.0003,49,39,573,69,72,0.49,1.256410256,352.7623077,1046,1369.826411
1813,AUDUSD,15,0.0003,56,36,1472,133,166,0.44,1.555555556,1007.502222,4.48,AUDUSD,15,0.0003,56,36,464,61,82,0.43,1.555555556,310.3644444,1008,1317.866666
1824,AUDUSD,15,0.0003,72,32,1256,89,161,0.36,2.25,1017.36,5.44,AUDUSD,15,0.0003,72,32,392,41,80,0.34,2.25,299.88,864,1317.24
1761,AUDUSD,15,0.0003,57,36,1326,130,169,0.43,1.583333333,902.785,3.99,AUDUSD,15,0.0003,57,36,603,63,83,0.43,1.583333333,410.5425,723,1313.3275
1787,AUDUSD,15,0.0003,56,24,1192,134,263,0.34,2.333333333,945.6533333,3.2,AUDUSD,15,0.0003,56,24,464,64,130,0.33,2.333333333,357.28,728,1302.933333
1794,AUDUSD,15,0.0003,76,32,1188,83,160,0.34,2.375,959.31,4.72,AUDUSD,15,0.0003,76,32,436,39,79,0.33,2.375,341.715,752,1301.025
2012,AUDUSD,15,0.0003,75,33,1425,85,150,0.36,2.272727273,1165.909091,5.88,AUDUSD,15,0.0003,75,33,183,35,74,0.32,2.272727273,133.0909091,1242,1299
1935,AUDUSD,15,0.0003,74,34,1372,87,149,0.37,2.176470588,1104.863529,5.96,AUDUSD,15,0.0003,74,34,262,38,75,0.34,2.176470588,193.88,1110,1298.743529
1924,AUDUSD,15,0.0003,72,33,1332,90,156,0.37,2.181818182,1075.287273,5.85,AUDUSD,15,0.0003,72,33,273,40,79,0.34,2.181818182,202.5163636,1059,1277.803637
1852,AUDUSD,15,0.0003,58,24,1188,126,255,0.33,2.416666667,947.43,3.06,AUDUSD,15,0.0003,58,24,350,59,128,0.32,2.416666667,270.6666667,838,1218.096667
1750,AUDUSD,15,0.0003,69,31,992,93,175,0.35,2.225806452,772.8,4,AUDUSD,15,0.0003,69,31,570,46,84,0.35,2.225806452,444.0483871,422,1216.848387
1782,AUDUSD,15,0.0003,56,25,1116,136,260,0.34,2.24,849.9456,2.54,AUDUSD,15,0.0003,56,25,477,67,131,0.34,2.24,363.2832,639,1213.2288
1752,AUDUSD,15,0.0003,70,32,1000,92,170,0.35,2.1875,765.625,3.7,AUDUSD,15,0.0003,70,32,558,45,81,0.36,2.1875,439.425,442,1205.05
1849,AUDUSD,15,0.0003,57,34,1324,130,179,0.42,1.676470588,932.2517647,4.22,AUDUSD,15,0.0003,57,34,406,62,92,0.4,1.676470588,272.2588235,918,1204.510588
1812,AUDUSD,15,0.0003,54,24,1158,141,269,0.34,2.25,885.87,2.52,AUDUSD,15,0.0003,54,24,414,65,129,0.34,2.25,316.71,744,1202.58
1755,AUDUSD,15,0.0003,69,32,1014,94,171,0.35,2.15625,765.253125,3.35,AUDUSD,15,0.0003,69,32,550,46,82,0.36,2.15625,426.9375,464,1192.190625
1808,AUDUSD,15,0.0003,72,31,1097,88,169,0.34,2.322580645,866.276129,4.02,AUDUSD,15,0.0003,72,31,420,42,84,0.33,2.322580645,321.9096774,677,1188.185806
1770,AUDUSD,15,0.0003,76,25,883,83,217,0.28,3.04,751.6096,3.28,AUDUSD,15,0.0003,76,25,465,40,103,0.28,3.04,395.808,418,1147.4176
1841,AUDUSD,15,0.0003,77,32,1072,80,159,0.33,2.40625,851.235,3.97,AUDUSD,15,0.0003,77,32,366,38,80,0.32,2.40625,281.82,706,1133.055
2020,AUDUSD,15,0.0003,56,34,1396,133,178,0.43,1.647058824,988.6964706,4.7,AUDUSD,15,0.0003,56,34,198,60,93,0.39,1.647058824,127.1858824,1198,1115.882353
1816,AUDUSD,15,0.0003,54,36,1206,139,175,0.44,1.5,795.96,3.6,AUDUSD,15,0.0003,54,36,468,64,83,0.44,1.5,308.88,738,1104.84
2032,AUDUSD,15,0.0003,49,35,1498,162,184,0.47,1.4,985.684,4.48,AUDUSD,15,0.0003,49,35,196,69,91,0.43,1.4,117.992,1302,1103.676
1899,AUDUSD,15,0.0003,67,34,1158,100,163,0.38,1.970588235,867.1376471,4.38,AUDUSD,15,0.0003,67,34,328,46,81,0.36,1.970588235,232.6870588,830,1099.824706
1840,AUDUSD,15,0.0003,52,36,1256,146,176,0.45,1.444444444,816.4,3.6,AUDUSD,15,0.0003,52,36,444,66,83,0.44,1.444444444,282.1866667,812,1098.586667
1856,AUDUSD,15,0.0003,60,25,1040,119,244,0.33,2.4,823.68,3.05,AUDUSD,15,0.0003,60,25,345,57,123,0.32,2.4,264.96,695,1088.64
1814,AUDUSD,15,0.0003,54,25,1018,142,266,0.35,2.16,769.608,2.65,AUDUSD,15,0.0003,54,25,422,68,130,0.34,2.16,309.9168,596,1079.5248
1892,AUDUSD,15,0.0003,51,36,1284,148,174,0.46,1.416666667,836.74,4.02,AUDUSD,15,0.0003,51,36,378,66,83,0.44,1.416666667,235.62,906,1072.36
1842,AUDUSD,15,0.0003,57,35,1158,129,177,0.42,1.628571429,792.072,3.64,AUDUSD,15,0.0003,57,35,419,62,89,0.41,1.628571429,279.7722857,739,1071.844286
1803,AUDUSD,15,0.0003,68,31,948,96,180,0.35,2.193548387,727.8193548,3.65,AUDUSD,15,0.0003,68,31,431,46,87,0.35,2.193548387,330.8967742,517,1058.716129
1887,AUDUSD,15,0.0003,71,32,1039,89,165,0.35,2.21875,806.8484375,4.05,AUDUSD,15,0.0003,71,32,319,41,81,0.34,2.21875,240.645625,720,1047.494063
2079,AUDUSD,15,0.0003,75,32,1169,83,158,0.34,2.34375,931.546875,4.38,AUDUSD,15,0.0003,75,32,129,35,78,0.31,2.34375,93.7265625,1040,1025.273438
1934,AUDUSD,15,0.0003,79,34,1052,74,141,0.34,2.323529412,831.08,4.42,AUDUSD,15,0.0003,79,34,261,33,69,0.32,2.323529412,194.0611765,791,1025.141177
2016,AUDUSD,15,0.0003,77,34,1119,79,146,0.35,2.264705882,886.9720588,4.85,AUDUSD,15,0.0003,77,34,179,35,74,0.32,2.264705882,129.7223529,940,1016.694412
1999,AUDUSD,15,0.0003,50,35,1315,153,181,0.46,1.428571429,864.1428571,4.1,AUDUSD,15,0.0003,50,35,235,67,89,0.43,1.428571429,144.3571429,1080,1008.5
2013,AUDUSD,15,0.0003,78,34,1086,78,147,0.35,2.294117647,871.9941176,5.2,AUDUSD,15,0.0003,78,34,180,35,75,0.32,2.294117647,132.1411765,906,1004.135294
1927,AUDUSD,15,0.0003,53,36,1209,141,174,0.45,1.472222222,800.9625,4.05,AUDUSD,15,0.0003,53,36,315,63,84,0.43,1.472222222,199.4125,894,1000.375
1952,AUDUSD,15,0.0003,50,36,1264,152,176,0.46,1.388888889,807.5555556,3.56,AUDUSD,15,0.0003,50,36,290,67,85,0.44,1.388888889,177.2222222,974,984.7777778
1977,AUDUSD,15,0.0003,55,35,1215,136,179,0.43,1.571428571,820.9928571,3.7,AUDUSD,15,0.0003,55,35,240,61,89,0.41,1.571428571,154.6285714,975,975.6214285
1981,AUDUSD,15,0.0003,74,31,1008,84,168,0.33,2.387096774,794.043871,3.65,AUDUSD,15,0.0003,74,31,208,38,84,0.31,2.387096774,153.92,800,947.963871
1906,AUDUSD,15,0.0003,50,39,1149,147,159,0.48,1.282051282,707.0769231,3.72,AUDUSD,15,0.0003,50,39,375,66,75,0.47,1.282051282,225.9615385,774,933.0384616
1863,AUDUSD,15,0.0003,67,31,888,97,181,0.35,2.161290323,671.7290323,3.3,AUDUSD,15,0.0003,67,31,354,46,88,0.34,2.161290323,260.1329032,534,931.8619355
2031,AUDUSD,15,0.0003,75,31,1004,82,166,0.33,2.419354839,801.5806452,3.98,AUDUSD,15,0.0003,75,31,158,36,82,0.31,2.419354839,118.5,846,920.0806452
1870,AUDUSD,15,0.0003,68,32,896,96,176,0.35,2.125,666.4,3,AUDUSD,15,0.0003,68,32,340,45,85,0.35,2.125,252.875,556,919.275
1990,AUDUSD,15,0.0003,77,33,968,79,155,0.34,2.333333333,767.9466667,4.4,AUDUSD,15,0.0003,77,33,198,36,78,0.32,2.333333333,147.84,770,915.7866667
1949,AUDUSD,15,0.0003,57,32,1027,123,187,0.4,1.78125,731.7375,3.6,AUDUSD,15,0.0003,57,32,266,58,95,0.38,1.78125,180.04875,761,911.78625
2091,AUDUSD,15,0.0003,55,34,1203,135,183,0.42,1.617647059,817.3323529,3.38,AUDUSD,15,0.0003,55,34,138,60,93,0.39,1.617647059,87.06176471,1065,904.3941176
1882,AUDUSD,15,0.0003,69,33,876,94,170,0.36,2.090909091,659.3890909,3.72,AUDUSD,15,0.0003,69,33,333,45,84,0.35,2.090909091,243.6954545,543,903.0845454
1917,AUDUSD,15,0.0003,68,33,922,98,174,0.36,2.060606061,683.9563636,3.36,AUDUSD,15,0.0003,68,33,290,46,86,0.35,2.060606061,209.1515152,632,893.1078788
1931,AUDUSD,15,0.0003,45,36,1161,173,184,0.48,1.25,696.6,2.88,AUDUSD,15,0.0003,45,36,333,77,87,0.47,1.25,195.6375,828,892.2375
1897,AUDUSD,15,0.0003,80,31,800,72,160,0.31,2.580645161,640,3.41,AUDUSD,15,0.0003,80,31,302,34,78,0.3,2.580645161,233.8064516,498,873.8064516
1961,AUDUSD,15,0.0003,79,32,886,74,155,0.32,2.46875,699.94,3.52,AUDUSD,15,0.0003,79,32,222,34,77,0.31,2.46875,169.899375,664,869.839375
2029,AUDUSD,15,0.0003,71,33,973,89,162,0.35,2.151515152,732.6984848,3.4,AUDUSD,15,0.0003,71,33,167,40,81,0.33,2.151515152,118.57,806,851.2684848
1905,AUDUSD,15,0.0003,70,35,840,92,160,0.37,2,621.6,3.85,AUDUSD,15,0.0003,70,35,315,44,79,0.36,2,226.8,525,848.4
1875,AUDUSD,15,0.0003,79,31,745,73,162,0.31,2.548387097,588.55,3.1,AUDUSD,15,0.0003,79,31,316,35,79,0.31,2.548387097,249.64,429,838.19
2084,AUDUSD,15,0.0003,78,32,904,76,157,0.33,2.4375,727.155,4.3,AUDUSD,15,0.0003,78,32,124,34,79,0.3,2.4375,90.675,780,817.83
1976,AUDUSD,15,0.0003,72,35,876,88,156,0.36,2.057142857,648.7405714,3.52,AUDUSD,15,0.0003,72,35,222,41,78,0.34,2.057142857,155.2731429,654,804.0137143
2063,AUDUSD,15,0.0003,66,34,924,99,165,0.38,1.941176471,681.5858824,4,AUDUSD,15,0.0003,66,34,148,45,83,0.35,1.941176471,100.5529412,776,782.1388236
2074,AUDUSD,15,0.0003,61,36,978,114,166,0.41,1.694444444,679.4383333,3.77,AUDUSD,15,0.0003,61,36,148,52,84,0.38,1.694444444,95.29555556,830,774.7338889
2061,AUDUSD,15,0.0003,73,31,862,84,170,0.33,2.35483871,669.8574194,3.32,AUDUSD,15,0.0003,73,31,139,38,85,0.31,2.35483871,101.47,723,771.3274194
1967,AUDUSD,15,0.0003,67,32,803,97,178,0.35,2.09375,588.4484375,2.65,AUDUSD,15,0.0003,67,32,231,45,87,0.34,2.09375,164.443125,572,752.8915625
1991,AUDUSD,15,0.0003,76,31,751,78,167,0.32,2.451612903,589.1716129,3.24,AUDUSD,15,0.0003,76,31,194,36,82,0.31,2.451612903,147.44,557,736.6116129
1958,AUDUSD,15,0.0003,70,33,760,91,170,0.35,2.121212121,564.2424242,3.05,AUDUSD,15,0.0003,70,33,238,43,84,0.34,2.121212121,171.6484848,522,735.890909
2041,AUDUSD,15,0.0003,42,24,912,200,312,0.39,1.75,622.44,1.74,AUDUSD,15,0.0003,42,24,174,91,152,0.37,1.75,112.665,738,735.105
2088,AUDUSD,15,0.0003,45,35,1010,171,191,0.47,1.285714286,610.3285714,2.6,AUDUSD,15,0.0003,45,35,155,75,92,0.45,1.285714286,89.67857143,855,700.0071428
2095,AUDUSD,15,0.0003,48,36,996,158,183,0.46,1.333333333,610.88,2.64,AUDUSD,15,0.0003,48,36,144,69,88,0.44,1.333333333,84.48,852,695.36
1844,AUDUSD,15,0.0003,66,25,525,100,243,0.29,2.64,401.94,1.39,AUDUSD,15,0.0003,66,25,350,50,118,0.3,2.64,277.2,175,679.14
2081,AUDUSD,15,0.0003,78,31,751,76,167,0.31,2.516129032,585.78,2.79,AUDUSD,15,0.0003,78,31,126,35,84,0.29,2.516129032,91.93935484,625,677.7193548
2055,AUDUSD,15,0.0003,62,31,775,108,191,0.36,2,558,2.48,AUDUSD,15,0.0003,62,31,155,51,97,0.34,2,105.4,620,663.4
2062,AUDUSD,15,0.0003,71,35,754,89,159,0.36,2.028571429,550.6354286,3.16,AUDUSD,15,0.0003,71,35,146,41,79,0.34,2.028571429,100.6982857,608,651.3337143
