,Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,ATTR,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,ATTR,s,a
414,AUDUSD,25,0.0001,71,67,883,70,61,0.53,1.059701493,495.9297015,6.14,25,0.0001,71,67,333,33,30,0.52,1.059701493,183.4979104,4.76,550,679.4276119
418,AUDUSD,25,0.0001,75,67,855,65,60,0.52,1.119402985,497.6865672,6.84,25,0.0001,75,67,315,31,30,0.51,1.119402985,179.8320896,5.42,540,677.5186568
419,AUDUSD,25,0.0001,74,66,850,65,60,0.52,1.121212121,495.5757576,6.8,25,0.0001,74,66,314,31,30,0.51,1.121212121,179.5509091,5.4,536,675.1266667
520,AUDUSD,25,0.0001,77,67,908,64,60,0.52,1.149253731,542.6316418,7.88,25,0.0001,77,67,233,30,31,0.49,1.149253731,131.2102985,3.56,675,673.8419403
451,AUDUSD,25,0.0001,72,65,866,68,62,0.52,1.107692308,498.816,6.24,25,0.0001,72,65,289,32,31,0.51,1.107692308,163.2627692,4.87,577,662.0787692
457,AUDUSD,25,0.0001,74,67,864,66,60,0.52,1.104477612,496.2197015,6.32,25,0.0001,74,67,284,31,30,0.51,1.104477612,159.9725373,4.91,580,656.1922388
230,AUDUSD,25,0.0001,77,53,548,67,87,0.44,1.452830189,350.3064151,4.2,25,0.0001,77,53,445,34,41,0.45,1.452830189,290.9292453,5.5,103,641.2356604
344,AUDUSD,25,0.0001,67,65,727,71,62,0.53,1.030769231,397.1656923,4.96,25,0.0001,67,65,395,35,30,0.54,1.030769231,219.8630769,6.28,332,617.0287692
498,AUDUSD,25,0.0001,72,66,804,68,62,0.52,1.090909091,456.0872727,5.76,25,0.0001,72,66,258,32,31,0.51,1.090909091,143.5418182,4.38,546,599.6290909
227,AUDUSD,25,0.0001,76,55,485,65,81,0.45,1.381818182,301.5818182,3.95,25,0.0001,76,55,452,32,36,0.47,1.381818182,293.5534545,6.57,33,595.1352727
534,AUDUSD,25,0.0001,72,67,814,69,62,0.53,1.074626866,463.6155224,6.67,25,0.0001,72,67,227,32,31,0.51,1.074626866,124.4095522,3.89,587,588.0250746
305,AUDUSD,25,0.0001,75,56,544,64,76,0.46,1.339285714,335.1428571,4.26,25,0.0001,75,56,384,32,36,0.47,1.339285714,241.7142857,5.57,160,576.8571428
345,AUDUSD,25,0.0001,74,56,554,65,76,0.46,1.321428571,336.7528571,3.8,25,0.0001,74,56,352,32,36,0.47,1.321428571,218.6171429,5.1,202,555.37
466,AUDUSD,25,0.0001,79,56,550,58,72,0.45,1.410714286,349.1517857,4.75,25,0.0001,79,56,252,28,35,0.44,1.410714286,156.42,3.4,298,505.5717857
438,AUDUSD,25,0.0001,63,63,630,77,67,0.53,1,333.9,3.78,25,0.0001,63,63,315,37,32,0.54,1,170.1,5.04,315,504
311,AUDUSD,25,0.0001,79,55,426,59,77,0.43,1.436363636,263.1130909,2.62,25,0.0001,79,55,366,29,35,0.45,1.436363636,236.5690909,5.3,60,499.6821818
359,AUDUSD,25,0.0001,71,56,460,68,78,0.47,1.267857143,274.1107143,3.69,25,0.0001,71,56,342,34,37,0.48,1.267857143,208.1314286,4.96,118,482.2421429
306,AUDUSD,25,0.0001,69,56,406,70,79,0.47,1.232142857,235.1175,2.75,25,0.0001,69,56,399,35,36,0.49,1.232142857,240.89625,5.25,7,476.01375
472,AUDUSD,25,0.0001,78,56,502,61,76,0.45,1.392857143,314.6464286,4.3,25,0.0001,78,56,246,29,36,0.45,1.392857143,154.1892857,4.3,256,468.8357143
329,AUDUSD,25,0.0001,78,55,381,62,81,0.43,1.418181818,232.3407273,2.19,25,0.0001,78,55,360,30,36,0.45,1.418181818,229.7454545,4.85,21,462.0861818
461,AUDUSD,25,0.0001,73,56,506,66,77,0.46,1.303571429,303.4192857,3.34,25,0.0001,73,56,264,32,37,0.46,1.303571429,158.3057143,3.34,242,461.725
532,AUDUSD,25,0.0001,80,56,528,57,72,0.44,1.428571429,331.8857143,3.84,25,0.0001,80,56,200,27,35,0.44,1.428571429,125.7142857,3.84,328,457.6
377,AUDUSD,25,0.0001,80,55,405,58,77,0.43,1.454545455,253.3090909,3.05,25,0.0001,80,55,315,28,35,0.44,1.454545455,201.6,4.4,90,454.9090909
338,AUDUSD,25,0.0001,70,56,392,68,78,0.47,1.25,230.3,3.22,25,0.0001,70,56,364,34,36,0.49,1.25,222.95,5.74,28,453.25
437,AUDUSD,25,0.0001,80,54,426,60,81,0.43,1.481481481,271.3777778,3.62,25,0.0001,80,54,268,29,38,0.43,1.481481481,170.7259259,3.62,158,442.1037037
358,AUDUSD,25,0.0001,65,31,317,85,168,0.34,2.096774194,225.9903226,1.64,25,0.0001,65,31,284,43,81,0.35,2.096774194,208.4193548,2.6,33,434.4096774
488,AUDUSD,25,0.0001,77,56,462,62,77,0.45,1.375,285.8625,3.85,25,0.0001,77,56,238,30,37,0.45,1.375,147.2625,3.85,224,433.125
548,AUDUSD,25,0.0001,63,62,574,78,70,0.53,1.016129032,309.1267742,4.25,25,0.0001,63,62,224,38,35,0.52,1.016129032,118.3587097,3,350,427.4854839
493,AUDUSD,25,0.0001,78,54,432,63,83,0.43,1.444444444,268.32,2.76,25,0.0001,78,54,234,30,39,0.43,1.444444444,145.34,2.76,198,413.66
538,AUDUSD,25,0.0001,67,66,532,70,63,0.53,1.015151515,286.2321212,4.49,25,0.0001,67,66,232,34,31,0.52,1.015151515,122.4678788,3.16,300,408.7
482,AUDUSD,25,0.0001,79,54,366,60,81,0.43,1.462962963,230.2411111,3.19,25,0.0001,79,54,239,29,38,0.43,1.462962963,150.3487037,3.19,127,380.5898148
442,AUDUSD,25,0.0001,36,25,342,172,234,0.42,1.44,206.8416,0.62,25,0.0001,36,25,271,86,113,0.43,1.44,167.8032,1.23,71,374.6448
470,AUDUSD,25,0.0001,76,54,328,64,84,0.43,1.407407407,198.5007407,1.9,25,0.0001,76,54,250,31,39,0.44,1.407407407,154.8148148,3.2,78,353.3155555
459,AUDUSD,25,0.0001,73,53,300,68,88,0.44,1.377358491,181.8113208,2.44,25,0.0001,73,53,256,34,42,0.45,1.377358491,158.6716981,3.7,44,340.4830189
557,AUDUSD,25,0.0001,76,57,285,63,79,0.44,1.333333333,167.2,1.52,25,0.0001,76,57,190,31,38,0.45,1.333333333,114,2.85,95,281.2
561,AUDUSD,25,0.0002,65,20,1075,99,268,0.27,3.25,943.3125,2.95,25,0.0002,65,20,1070,54,122,0.31,3.25,1078.025,6.35,5,2021.3375
566,AUDUSD,25,0.0002,67,20,1011,93,261,0.26,3.35,880.581,2.62,25,0.0002,67,20,997,51,121,0.3,3.35,1001.985,6.1,14,1882.566
582,AUDUSD,25,0.0002,61,20,1168,108,271,0.28,3.05,997.472,2.68,25,0.0002,61,20,896,56,126,0.31,3.05,847.168,5.11,272,1844.64
621,AUDUSD,25,0.0002,67,25,1358,99,211,0.32,2.68,1164.6208,4.44,25,0.0002,67,25,758,49,101,0.33,2.68,670.3752,5.36,600,1834.996
568,AUDUSD,25,0.0002,80,20,900,68,227,0.23,4,828,3,25,0.0002,80,20,880,35,96,0.27,4,950.4,7,20,1778.4
597,AUDUSD,25,0.0002,60,20,1060,109,274,0.28,3,890.4,2.4,25,0.0002,60,20,860,57,128,0.31,3,799.8,4.8,200,1690.2
632,AUDUSD,25,0.0002,66,25,1250,100,214,0.32,2.64,1056,4.12,25,0.0002,66,25,725,50,103,0.33,2.64,631.62,5.03,525,1687.62
577,AUDUSD,25,0.0002,60,18,918,108,309,0.26,3.333333333,795.6,2.28,25,0.0002,60,18,918,57,139,0.29,3.333333333,887.4,4.62,0,1683
605,AUDUSD,25,0.0002,65,17,973,95,306,0.24,3.823529412,892.8705882,2.68,25,0.0002,65,17,771,49,142,0.26,3.823529412,766.4647059,4.32,202,1659.335294
583,AUDUSD,25,0.0002,59,18,915,111,313,0.26,3.277777778,779.7833333,2.02,25,0.0002,59,18,889,59,144,0.29,3.277777778,845.0438889,4.33,26,1624.827222
651,AUDUSD,25,0.0002,65,25,1230,102,216,0.32,2.6,1023.36,3.8,25,0.0002,65,25,675,50,103,0.33,2.6,579.15,4.7,555,1602.51
594,AUDUSD,25,0.0002,62,20,926,103,273,0.27,3.1,775.062,2.14,25,0.0002,62,20,870,55,127,0.3,3.1,809.1,4.6,56,1584.162
611,AUDUSD,25,0.0002,66,17,938,92,302,0.23,3.882352941,837.5788235,2.09,25,0.0002,66,17,754,48,142,0.25,3.882352941,731.8235294,3.75,184,1569.402353
620,AUDUSD,25,0.0002,59,20,949,111,280,0.28,2.95,783.874,2.12,25,0.0002,59,20,762,58,133,0.3,2.95,674.37,3.7,187,1458.244
631,AUDUSD,25,0.0002,67,17,897,89,298,0.23,3.941176471,813.1041176,2.32,25,0.0002,67,17,668,46,142,0.24,3.941176471,631.8494118,3.16,229,1444.953529
711,AUDUSD,25,0.0002,62,27,1207,107,201,0.35,2.296296296,970.0703704,4.15,25,0.0002,62,27,586,53,100,0.35,2.296296296,470.9703704,4.15,621,1441.040741
766,AUDUSD,25,0.0002,59,24,1160,112,227,0.33,2.458333333,941.05,3.39,25,0.0002,59,24,511,53,109,0.33,2.458333333,414.54875,3.39,649,1355.59875
765,AUDUSD,25,0.0002,61,27,1188,108,200,0.35,2.259259259,939.4,3.8,25,0.0002,61,27,526,52,98,0.35,2.259259259,415.9296296,3.8,662,1355.32963
763,AUDUSD,25,0.0002,59,22,1071,111,249,0.31,2.681818182,890.3904545,3.11,25,0.0002,59,22,502,54,122,0.31,2.681818182,417.3445455,3.11,569,1307.735
688,AUDUSD,25,0.0002,55,24,1025,119,230,0.34,2.291666667,798.6458333,2.86,25,0.0002,55,24,629,59,109,0.35,2.291666667,504.5104167,3.65,396,1303.15625
753,AUDUSD,25,0.0002,58,24,1096,112,225,0.33,2.416666667,874.06,3.06,25,0.0002,58,24,530,53,106,0.33,2.416666667,422.675,3.06,566,1296.735
691,AUDUSD,25,0.0002,65,27,992,100,204,0.33,2.407407407,788.0888889,3.36,25,0.0002,65,27,615,51,100,0.34,2.407407407,503.3888889,4.28,377,1291.477778
638,AUDUSD,25,0.0002,64,17,776,95,312,0.23,3.764705882,671.9247059,1.63,25,0.0002,64,17,654,49,146,0.25,3.764705882,615.5294118,3.25,122,1287.454118
698,AUDUSD,25,0.0002,55,17,918,119,331,0.26,3.235294118,772.2,1.72,25,0.0002,55,17,559,59,158,0.27,3.235294118,488.3029412,2.44,359,1260.502941
726,AUDUSD,25,0.0002,54,24,1026,123,234,0.34,2.25,784.89,2.52,25,0.0002,54,24,576,60,111,0.35,2.25,453.6,3.3,450,1238.49
