DATE_TIME,HIGH,LOW,OPEN,CLOSE
2017.01.02 09:00:00,0.72066,0.71937,0.71937,0.72056
2017.01.02 09:15:00,0.7206,0.71937,0.72056,0.71986
2017.01.02 09:30:00,0.7208,0.71958,0.71987,0.71961
2017.01.02 09:45:00,0.71936,0.71874,0.71936,0.71875
2017.01.02 10:00:00,0.71897,0.7184,0.71878,0.71882
2017.01.02 10:15:00,0.71883,0.71781,0.71882,0.71813
2017.01.02 10:30:00,0.71867,0.71778,0.71813,0.71784
2017.01.02 10:45:00,0.71882,0.71698,0.71784,0.71748
2017.01.02 11:00:00,0.71938,0.71667,0.71748,0.71706
2017.01.02 11:15:00,0.71742,0.71706,0.71706,0.71715
2017.01.02 11:30:00,0.71785,0.71674,0.71715,0.71721
2017.01.02 11:45:00,0.7175,0.71641,0.71721,0.71688
2017.01.02 12:00:00,0.71773,0.71686,0.71688,0.71742
2017.01.02 12:15:00,0.71743,0.71702,0.71742,0.71737
2017.01.02 12:30:00,0.71834,0.71704,0.71737,0.71772
2017.01.02 12:45:00,0.71822,0.71747,0.71772,0.71776
2017.01.02 13:00:00,0.71801,0.71745,0.71776,0.71795
2017.01.02 13:15:00,0.71795,0.71738,0.71795,0.71752
2017.01.02 13:30:00,0.71767,0.71727,0.71752,0.71743
2017.01.02 13:45:00,0.71784,0.71723,0.71743,0.71773
2017.01.02 14:00:00,0.7178,0.71718,0.71773,0.71736
2017.01.02 14:15:00,0.71798,0.71737,0.71737,0.71797
2017.01.02 14:30:00,0.71831,0.71752,0.71797,0.71754
2017.01.02 14:45:00,0.71765,0.7174,0.71754,0.71761
2017.01.02 15:00:00,0.71833,0.71761,0.71761,0.71782
2017.01.02 15:15:00,0.718,0.71765,0.71782,0.71775
2017.01.02 15:30:00,0.71779,0.71761,0.71775,0.71762
2017.01.02 15:45:00,0.71785,0.71699,0.71762,0.71732
2017.01.02 16:00:00,0.71802,0.71712,0.71732,0.71787
2017.01.02 16:15:00,0.71792,0.71779,0.71787,0.71789
2017.01.02 16:30:00,0.71881,0.71785,0.71787,0.71832
2017.01.02 16:45:00,0.71895,0.71827,0.71832,0.71841
2017.01.02 17:00:00,0.71844,0.718,0.71841,0.71836
2017.01.02 17:15:00,0.7185,0.71836,0.71836,0.71844
2017.01.02 17:30:00,0.71861,0.71834,0.71843,0.71851
2017.01.02 17:45:00,0.7186,0.71844,0.71851,0.71846
2017.01.02 18:00:00,0.71868,0.71834,0.71846,0.71845
