,Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score
0,AUDUSD,35,0.0001,15,11,-208,69,113,0.38,1.363636364,0
1,AUDUSD,35,0.0001,15,12,21,159,197,0.45,1.25,11.8125
2,AUDUSD,35,0.0001,15,13,-211,83,112,0.43,1.153846154,0
3,AUDUSD,35,0.0001,15,14,-204,90,111,0.45,1.071428571,0
4,AUDUSD,35,0.0001,15,15,-210,86,100,0.46,1,0
5,AUDUSD,35,0.0001,16,11,-142,141,218,0.39,1.454545455,-80.55272727
6,AUDUSD,35,0.0001,16,12,-76,146,201,0.42,1.333333333,-42.56
7,AUDUSD,35,0.0001,16,13,-205,79,113,0.41,1.230769231,0
8,AUDUSD,35,0.0001,16,14,-202,144,179,0.45,1.142857143,0
9,AUDUSD,35,0.0001,16,15,-203,82,101,0.45,1.066666667,0
10,AUDUSD,35,0.0001,16,16,-208,82,95,0.46,1,0
11,AUDUSD,35,0.0001,17,11,-142,134,220,0.38,1.545454545,-83.39272727
12,AUDUSD,35,0.0001,17,12,-44,140,202,0.41,1.416666667,-25.55666667
13,AUDUSD,35,0.0001,17,13,-203,76,115,0.4,1.307692308,0
14,AUDUSD,35,0.0001,17,14,-204,100,136,0.42,1.214285714,0
15,AUDUSD,35,0.0001,17,15,-202,79,103,0.43,1.133333333,0
16,AUDUSD,35,0.0001,17,16,-209,79,97,0.45,1.0625,0
17,AUDUSD,35,0.0001,17,17,-204,82,94,0.47,1,0
18,AUDUSD,35,0.0001,18,11,-40,131,218,0.38,1.636363636,-24.87272727
19,AUDUSD,35,0.0001,18,12,108,138,198,0.41,1.5,66.42
20,AUDUSD,35,0.0001,18,13,42,141,192,0.42,1.384615385,24.42461538
21,AUDUSD,35,0.0001,18,14,36,142,180,0.44,1.285714286,20.36571429
22,AUDUSD,35,0.0001,18,15,39,143,169,0.46,1.2,21.528
23,AUDUSD,35,0.0001,18,16,-204,82,105,0.44,1.125,0
24,AUDUSD,35,0.0001,18,17,-40,147,158,0.48,1.058823529,-20.32941176
25,AUDUSD,35,0.0001,18,18,-18,148,149,0.5,1,-9
26,AUDUSD,35,0.0001,19,11,-210,103,197,0.34,1.727272727,0
27,AUDUSD,35,0.0001,19,12,63,129,199,0.39,1.583333333,38.9025
28,AUDUSD,35,0.0001,19,13,-33,131,194,0.4,1.461538462,-19.29230769
29,AUDUSD,35,0.0001,19,14,-21,133,182,0.42,1.357142857,-11.97
30,AUDUSD,35,0.0001,19,15,-206,91,129,0.41,1.266666667,0
31,AUDUSD,35,0.0001,19,16,-213,73,100,0.42,1.1875,0
32,AUDUSD,35,0.0001,19,17,-201,95,118,0.45,1.117647059,0
33,AUDUSD,35,0.0001,19,18,-209,115,133,0.46,1.055555556,0
34,AUDUSD,35,0.0001,19,19,-209,75,86,0.47,1,0
35,AUDUSD,35,0.0001,20,11,-111,116,221,0.34,1.818181818,-68.61818182
36,AUDUSD,35,0.0001,20,12,16,122,202,0.38,1.666666667,10.13333333
37,AUDUSD,35,0.0001,20,13,-205,84,145,0.37,1.538461538,0
38,AUDUSD,35,0.0001,20,14,-208,82,132,0.38,1.428571429,0
39,AUDUSD,35,0.0001,20,15,-215,83,125,0.4,1.333333333,0
40,AUDUSD,35,0.0001,20,16,-216,70,101,0.41,1.25,0
41,AUDUSD,35,0.0001,20,17,-203,91,119,0.43,1.176470588,0
42,AUDUSD,35,0.0001,20,18,-206,86,107,0.45,1.111111111,0
43,AUDUSD,35,0.0001,20,19,-203,63,77,0.45,1.052631579,0
44,AUDUSD,35,0.0001,20,20,-220,53,64,0.45,1,0
45,AUDUSD,35,0.0001,21,11,-207,64,141,0.31,1.909090909,0
46,AUDUSD,35,0.0001,21,12,-33,115,204,0.36,1.75,-20.79
47,AUDUSD,35,0.0001,21,13,-204,59,111,0.35,1.615384615,0
48,AUDUSD,35,0.0001,21,14,-210,62,108,0.36,1.5,0
49,AUDUSD,35,0.0001,21,15,-207,63,102,0.38,1.4,0
50,AUDUSD,35,0.0001,21,16,-206,58,89,0.39,1.3125,0
51,AUDUSD,35,0.0001,21,17,-212,66,94,0.41,1.235294118,0
52,AUDUSD,35,0.0001,21,18,-201,71,94,0.43,1.166666667,0
53,AUDUSD,35,0.0001,21,19,-202,51,67,0.43,1.105263158,0
54,AUDUSD,35,0.0001,21,20,-209,51,64,0.44,1.05,0
55,AUDUSD,35,0.0001,21,21,-210,65,75,0.46,1,0
56,AUDUSD,35,0.0001,22,11,-209,56,131,0.3,2,0
57,AUDUSD,35,0.0001,22,12,-38,109,203,0.35,1.833333333,-24.38333333
58,AUDUSD,35,0.0001,22,13,-212,53,106,0.33,1.692307692,0
59,AUDUSD,35,0.0001,22,14,-210,56,103,0.35,1.571428571,0
60,AUDUSD,35,0.0001,22,15,-202,59,100,0.37,1.466666667,0
61,AUDUSD,35,0.0001,22,16,-208,56,90,0.38,1.375,0
62,AUDUSD,35,0.0001,22,17,-217,62,93,0.4,1.294117647,0
63,AUDUSD,35,0.0001,22,18,-216,63,89,0.41,1.222222222,0
64,AUDUSD,35,0.0001,22,19,-210,44,62,0.42,1.157894737,0
65,AUDUSD,35,0.0001,22,20,-212,44,59,0.43,1.1,0
66,AUDUSD,35,0.0001,22,21,-201,51,63,0.45,1.047619048,0
67,AUDUSD,35,0.0001,22,22,-220,40,50,0.44,1,0
68,AUDUSD,35,0.0001,23,11,-97,101,220,0.31,2.090909091,-62.87363636
69,AUDUSD,35,0.0001,23,12,14,106,202,0.34,1.916666667,9.123333333
70,AUDUSD,35,0.0001,23,13,-204,55,113,0.33,1.769230769,0
71,AUDUSD,35,0.0001,23,14,-201,57,108,0.35,1.642857143,0
72,AUDUSD,35,0.0001,23,15,-211,58,103,0.36,1.533333333,0
73,AUDUSD,35,0.0001,23,16,-202,58,96,0.38,1.4375,0
74,AUDUSD,35,0.0001,23,17,-201,60,93,0.39,1.352941176,0
75,AUDUSD,35,0.0001,23,18,-215,65,95,0.41,1.277777778,0
76,AUDUSD,35,0.0001,23,19,-211,47,68,0.41,1.210526316,0
77,AUDUSD,35,0.0001,23,20,-219,47,65,0.42,1.15,0
78,AUDUSD,35,0.0001,23,21,-216,60,76,0.44,1.095238095,0
79,AUDUSD,35,0.0001,23,22,-214,50,62,0.45,1.045454545,0
80,AUDUSD,35,0.0001,23,23,-207,51,60,0.46,1,0
81,AUDUSD,35,0.0001,24,11,-9,100,219,0.31,2.181818182,-6.087272727
82,AUDUSD,35,0.0001,24,12,60,103,201,0.34,2,40.8
83,AUDUSD,35,0.0001,24,13,-210,53,114,0.32,1.846153846,0
84,AUDUSD,35,0.0001,24,14,-206,55,109,0.34,1.714285714,0
85,AUDUSD,35,0.0001,24,15,-201,56,103,0.35,1.6,0
86,AUDUSD,35,0.0001,24,16,-208,56,97,0.37,1.5,0
87,AUDUSD,35,0.0001,24,17,-206,58,94,0.38,1.411764706,0
88,AUDUSD,35,0.0001,24,18,-216,66,100,0.4,1.333333333,0
89,AUDUSD,35,0.0001,24,19,-212,45,68,0.4,1.263157895,0
90,AUDUSD,35,0.0001,24,20,-220,45,65,0.41,1.2,0
91,AUDUSD,35,0.0001,24,21,-204,58,76,0.43,1.142857143,0
92,AUDUSD,35,0.0001,24,22,-212,48,62,0.44,1.090909091,0
93,AUDUSD,35,0.0001,24,23,-204,49,60,0.45,1.043478261,0
94,AUDUSD,35,0.0001,24,24,-216,8,17,0.32,1,0
95,AUDUSD,35,0.0001,25,11,-112,91,217,0.3,2.272727273,-76.36363636
96,AUDUSD,35,0.0001,25,12,-51,93,198,0.32,2.083333333,-34
97,AUDUSD,35,0.0001,25,13,-207,51,114,0.31,1.923076923,0
98,AUDUSD,35,0.0001,25,14,-203,63,127,0.33,1.785714286,0
99,AUDUSD,35,0.0001,25,15,-205,65,122,0.35,1.666666667,0
100,AUDUSD,35,0.0001,25,16,-202,54,97,0.36,1.5625,0
101,AUDUSD,35,0.0001,25,17,-205,70,115,0.38,1.470588235,0
102,AUDUSD,35,0.0001,25,18,-215,67,105,0.39,1.388888889,0
103,AUDUSD,35,0.0001,25,19,-202,55,83,0.4,1.315789474,0
104,AUDUSD,35,0.0001,25,20,-220,68,96,0.41,1.25,0
105,AUDUSD,35,0.0001,25,21,12,108,128,0.46,1.19047619,6.571428571
106,AUDUSD,35,0.0001,25,22,-97,107,126,0.46,1.136363636,-50.70454545
107,AUDUSD,35,0.0001,25,23,-212,101,119,0.46,1.086956522,0
