,Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,ATTR
30,AUDUSD,1,0.0001,19,15,-204,39,63,0.38,1.266666667,0,-2.08
31,AUDUSD,1,0.0001,19,16,-202,34,53,0.39,1.1875,0,-2.35
32,AUDUSD,1,0.0001,19,17,-204,34,50,0.4,1.117647059,0,-2.6
33,AUDUSD,1,0.0001,19,18,-217,35,49,0.42,1.055555556,0,-2.46
34,AUDUSD,1,0.0001,19,19,-209,35,46,0.43,1,0,-2.66
35,AUDUSD,1,0.0001,20,11,-209,44,99,0.31,1.818181818,0,-1.39
36,AUDUSD,1,0.0001,20,12,-212,62,121,0.34,1.666666667,0,-1.12
37,AUDUSD,1,0.0001,20,13,-212,31,64,0.33,1.538461538,0,-2.11
38,AUDUSD,1,0.0001,20,14,-210,28,55,0.34,1.428571429,0,-2.44
39,AUDUSD,1,0.0001,20,15,-225,27,51,0.35,1.333333333,0,-2.75
40,AUDUSD,1,0.0001,20,16,-216,26,46,0.36,1.25,0,-3.04
41,AUDUSD,1,0.0001,20,17,-211,26,43,0.38,1.176470588,0,-2.94
42,AUDUSD,1,0.0001,20,18,-202,25,39,0.39,1.111111111,0,-3.18
43,AUDUSD,1,0.0001,20,19,-222,25,38,0.4,1.052631579,0,-3.4
44,AUDUSD,1,0.0001,20,20,-220,86,97,0.47,1,0,-1.2
45,AUDUSD,1,0.0001,21,11,-204,28,72,0.28,1.909090909,0,-2.04
46,AUDUSD,1,0.0001,21,12,-210,38,84,0.31,1.75,0,-1.77
47,AUDUSD,1,0.0001,21,13,-205,28,61,0.31,1.615384615,0,-2.46
48,AUDUSD,1,0.0001,21,14,-210,26,54,0.33,1.5,0,-2.45
49,AUDUSD,1,0.0001,21,15,-210,25,49,0.34,1.4,0,-2.76
50,AUDUSD,1,0.0001,21,16,-211,25,46,0.35,1.3125,0,-3.05
51,AUDUSD,1,0.0001,21,17,-223,25,44,0.36,1.235294118,0,-3.32
52,AUDUSD,1,0.0001,21,18,-216,24,40,0.38,1.166666667,0,-3.18
53,AUDUSD,1,0.0001,21,19,-216,25,39,0.39,1.105263158,0,-3.4
54,AUDUSD,1,0.0001,21,20,-208,72,86,0.46,1.05,0,-1.14
55,AUDUSD,1,0.0001,21,21,-210,157,167,0.48,1,0,-0.84
56,AUDUSD,1,0.0001,22,11,-209,24,67,0.26,2,0,-2.42
57,AUDUSD,1,0.0001,22,12,-206,31,74,0.3,1.833333333,0,-1.8
58,AUDUSD,1,0.0001,22,13,-203,15,41,0.27,1.692307692,0,-3.55
59,AUDUSD,1,0.0001,22,14,-202,22,49,0.31,1.571428571,0,-2.84
60,AUDUSD,1,0.0001,22,15,-214,23,48,0.32,1.466666667,0,-3.16
61,AUDUSD,1,0.0001,22,16,-204,30,54,0.36,1.375,0,-2.32
62,AUDUSD,1,0.0001,22,17,-202,31,52,0.37,1.294117647,0,-2.57
63,AUDUSD,1,0.0001,22,18,-212,28,46,0.38,1.222222222,0,-2.8
64,AUDUSD,1,0.0001,22,19,-217,29,45,0.39,1.157894737,0,-3.01
65,AUDUSD,1,0.0001,22,20,-206,77,95,0.45,1.1,0,-1.1
66,AUDUSD,1,0.0001,22,21,-214,206,226,0.48,1.047619048,0,-0.36
67,AUDUSD,1,0.0001,22,22,-220,165,175,0.49,1,0,-0.44
68,AUDUSD,1,0.0001,23,11,-207,24,69,0.26,2.090909091,0,-2.16
69,AUDUSD,1,0.0001,23,12,-201,33,80,0.29,1.916666667,0,-1.85
70,AUDUSD,1,0.0001,23,13,-212,23,57,0.29,1.769230769,0,-2.56
71,AUDUSD,1,0.0001,23,14,-203,21,49,0.3,1.642857143,0,-2.9
72,AUDUSD,1,0.0001,23,15,-207,21,46,0.31,1.533333333,0,-3.22
73,AUDUSD,1,0.0001,23,16,-204,28,53,0.35,1.4375,0,-2.35
74,AUDUSD,1,0.0001,23,17,-206,28,50,0.36,1.352941176,0,-2.6
75,AUDUSD,1,0.0001,23,18,-207,27,46,0.37,1.277777778,0,-2.83
76,AUDUSD,1,0.0001,23,19,-211,28,45,0.38,1.210526316,0,-3.04
77,AUDUSD,1,0.0001,23,20,-215,115,143,0.45,1.15,0,-0.65
78,AUDUSD,1,0.0001,23,21,-94,247,275,0.47,1.095238095,-48.38761905,-0.32
79,AUDUSD,1,0.0001,23,22,-211,163,180,0.48,1.045454545,0,-0.4
80,AUDUSD,1,0.0001,23,23,-23,243,244,0.5,1,-11.5,0
81,AUDUSD,1,0.0001,24,11,-208,28,80,0.26,2.181818182,0,-1.9
82,AUDUSD,1,0.0001,24,12,-204,28,73,0.28,2,0,-1.92
83,AUDUSD,1,0.0001,24,13,-211,21,55,0.28,1.846153846,0,-2.64
84,AUDUSD,1,0.0001,24,14,-206,20,49,0.29,1.714285714,0,-2.98
85,AUDUSD,1,0.0001,24,15,-210,20,46,0.3,1.6,0,-3.3
86,AUDUSD,1,0.0001,24,16,-216,27,54,0.33,1.5,0,-2.8
87,AUDUSD,1,0.0001,24,17,-202,27,50,0.35,1.411764706,0,-2.65
88,AUDUSD,1,0.0001,24,18,-204,26,46,0.36,1.333333333,0,-2.88
89,AUDUSD,1,0.0001,24,19,-207,27,45,0.38,1.263157895,0,-2.66
90,AUDUSD,1,0.0001,24,20,-220,70,95,0.42,1.2,0,-1.52
91,AUDUSD,1,0.0001,24,21,-201,213,253,0.46,1.142857143,0,-0.3
92,AUDUSD,1,0.0001,24,22,-222,153,177,0.46,1.090909091,0,-0.84
93,AUDUSD,1,0.0001,24,23,-188,226,244,0.48,1.043478261,-94.16347826,-0.44
94,AUDUSD,1,0.0001,24,24,-216,176,185,0.49,1,0,-0.48
95,AUDUSD,1,0.0001,25,11,-209,22,69,0.24,2.272727273,0,-2.36
96,AUDUSD,1,0.0001,25,12,-202,26,71,0.27,2.083333333,0,-2.01
97,AUDUSD,1,0.0001,25,13,-213,18,51,0.26,1.923076923,0,-3.12
98,AUDUSD,1,0.0001,25,14,-211,19,49,0.28,1.785714286,0,-3.08
99,AUDUSD,1,0.0001,25,15,-215,19,46,0.29,1.666666667,0,-3.4
100,AUDUSD,1,0.0001,25,16,-214,26,54,0.33,1.5625,0,-2.47
101,AUDUSD,1,0.0001,25,17,-205,19,40,0.32,1.470588235,0,-3.56
102,AUDUSD,1,0.0001,25,18,-203,25,46,0.35,1.388888889,0,-2.95
103,AUDUSD,1,0.0001,25,19,-205,26,45,0.37,1.315789474,0,-2.72
104,AUDUSD,1,0.0001,25,20,-215,129,172,0.43,1.25,0,-0.65
105,AUDUSD,1,0.0001,25,21,-82,221,267,0.45,1.19047619,-43.92857143,-0.3
106,AUDUSD,1,0.0001,25,22,15,225,255,0.47,1.136363636,8.011363636,0.09
107,AUDUSD,1,0.0001,25,23,-203,25,36,0.41,1.086956522,0,-3.32
108,AUDUSD,1,0.0001,25,24,-218,22,32,0.41,1.041666667,0,-3.91
109,AUDUSD,1,0.0001,25,25,-225,16,25,0.39,1,0,-5.5
110,AUDUSD,1,0.0001,26,11,-206,20,66,0.23,2.363636364,0,-2.49
111,AUDUSD,1,0.0001,26,12,-210,21,63,0.25,2.166666667,0,-2.5
112,AUDUSD,1,0.0001,26,13,-208,14,44,0.24,2,0,-3.64
113,AUDUSD,1,0.0001,26,14,-202,31,72,0.3,1.857142857,0,-2
114,AUDUSD,1,0.0001,26,15,-202,28,62,0.31,1.733333333,0,-2.29
115,AUDUSD,1,0.0001,26,16,-204,26,55,0.32,1.625,0,-2.56
116,AUDUSD,1,0.0001,26,17,-209,24,49,0.33,1.529411765,0,-2.81
117,AUDUSD,1,0.0001,26,18,-204,24,46,0.34,1.444444444,0,-3.04
118,AUDUSD,1,0.0001,26,19,-205,25,45,0.36,1.368421053,0,-2.8
119,AUDUSD,1,0.0001,26,20,-216,44,68,0.39,1.3,0,-2.06
120,AUDUSD,1,0.0001,26,21,-220,61,86,0.41,1.238095238,0,-1.73
121,AUDUSD,1,0.0001,26,22,-206,31,46,0.4,1.181818182,0,-2.8
122,AUDUSD,1,0.0001,26,23,-204,24,36,0.4,1.130434783,0,-3.4
123,AUDUSD,1,0.0001,26,24,-212,98,115,0.46,1.083333333,0,-1
124,AUDUSD,1,0.0001,26,25,-209,91,103,0.47,1.04,0,-1.03
125,AUDUSD,1,0.0001,26,26,-208,54,62,0.47,1,0,-1.56
126,AUDUSD,1,0.0001,27,11,-203,10,43,0.19,2.454545455,0,-3.78
127,AUDUSD,1,0.0001,27,12,-204,12,44,0.21,2.25,0,-3.81
128,AUDUSD,1,0.0001,27,13,-208,13,43,0.23,2.076923077,0,-3.8
129,AUDUSD,1,0.0001,27,14,-214,18,50,0.26,1.928571429,0,-3.34
130,AUDUSD,1,0.0001,27,15,-201,17,44,0.28,1.8,0,-3.24
131,AUDUSD,1,0.0001,27,16,-202,18,43,0.3,1.6875,0,-3.1
132,AUDUSD,1,0.0001,27,17,-221,17,40,0.3,1.588235294,0,-3.8
133,AUDUSD,1,0.0001,27,18,-207,17,37,0.31,1.5,0,-4.05
134,AUDUSD,1,0.0001,27,19,-207,24,45,0.35,1.421052632,0,-2.9
135,AUDUSD,1,0.0001,27,20,-201,17,33,0.34,1.35,0,-4.02
136,AUDUSD,1,0.0001,27,21,-207,32,51,0.39,1.285714286,0,-2.28
137,AUDUSD,1,0.0001,27,22,-206,16,29,0.36,1.227272727,0,-4.36
138,AUDUSD,1,0.0001,27,23,-215,21,34,0.38,1.173913043,0,-4
139,AUDUSD,1,0.0001,27,24,-204,20,31,0.39,1.125,0,-4.11
140,AUDUSD,1,0.0001,27,25,-220,15,25,0.38,1.08,0,-5.24
141,AUDUSD,1,0.0001,27,26,-221,13,22,0.37,1.038461538,0,-6.39
142,AUDUSD,1,0.0001,27,27,-216,13,21,0.38,1,0,-6.48
143,AUDUSD,1,0.0001,28,11,-209,11,47,0.19,2.545454545,0,-3.59
144,AUDUSD,1,0.0001,28,12,-204,12,45,0.21,2.333333333,0,-3.6
145,AUDUSD,1,0.0001,28,13,-208,13,44,0.23,2.153846154,0,-3.57
146,AUDUSD,1,0.0001,28,14,-210,18,51,0.26,2,0,-3.08
147,AUDUSD,1,0.0001,28,15,-214,17,46,0.27,1.866666667,0,-3.39
148,AUDUSD,1,0.0001,28,16,-216,18,45,0.29,1.75,0,-3.24
149,AUDUSD,1,0.0001,28,17,-204,17,40,0.3,1.647058824,0,-3.5
150,AUDUSD,1,0.0001,28,18,-208,17,38,0.31,1.555555556,0,-3.74
151,AUDUSD,1,0.0001,28,19,-214,29,54,0.35,1.473684211,0,-2.55
152,AUDUSD,1,0.0001,28,20,-204,17,34,0.33,1.4,0,-4.16
153,AUDUSD,1,0.0001,28,21,-210,42,66,0.39,1.333333333,0,-1.89
154,AUDUSD,1,0.0001,28,22,-220,22,38,0.37,1.272727273,0,-3.5
155,AUDUSD,1,0.0001,28,23,-212,22,36,0.38,1.217391304,0,-3.62
156,AUDUSD,1,0.0001,28,24,-204,117,145,0.45,1.166666667,0,-0.6
157,AUDUSD,1,0.0001,28,25,-202,116,138,0.46,1.12,0,-0.62
158,AUDUSD,1,0.0001,28,26,-206,14,23,0.38,1.076923077,0,-5.48
159,AUDUSD,1,0.0001,28,27,-202,14,22,0.39,1.037037037,0,-5.55
160,AUDUSD,1,0.0001,28,28,-224,9,17,0.35,1,0,-8.4
161,AUDUSD,1,0.0001,29,11,-207,16,61,0.21,2.636363636,0,-2.6
162,AUDUSD,1,0.0001,29,12,-215,17,59,0.22,2.416666667,0,-2.98
163,AUDUSD,1,0.0001,29,13,-219,18,57,0.24,2.230769231,0,-2.92
164,AUDUSD,1,0.0001,29,14,-206,18,52,0.26,2.071428571,0,-2.82
165,AUDUSD,1,0.0001,29,15,-212,17,47,0.27,1.933333333,0,-3.12
166,AUDUSD,1,0.0001,29,16,-202,14,38,0.27,1.8125,0,-3.85
167,AUDUSD,1,0.0001,29,17,-206,14,36,0.28,1.705882353,0,-4.12
168,AUDUSD,1,0.0001,29,18,-231,15,37,0.29,1.611111111,0,-4.37
169,AUDUSD,1,0.0001,29,19,-217,22,45,0.33,1.526315789,0,-3.16
170,AUDUSD,1,0.0001,29,20,-205,15,32,0.32,1.45,0,-4.32
171,AUDUSD,1,0.0001,29,21,-212,26,46,0.36,1.380952381,0,-3
172,AUDUSD,1,0.0001,29,22,-203,15,29,0.34,1.318181818,0,-4.66
173,AUDUSD,1,0.0001,29,23,-202,20,34,0.37,1.260869565,0,-3.76
174,AUDUSD,1,0.0001,29,24,-217,19,32,0.37,1.208333333,0,-4.39
175,AUDUSD,1,0.0001,29,25,-219,14,25,0.36,1.16,0,-5.56
176,AUDUSD,1,0.0001,29,26,-224,12,22,0.35,1.115384615,0,-6.75
177,AUDUSD,1,0.0001,29,27,-219,12,21,0.36,1.074074074,0,-6.84
178,AUDUSD,1,0.0001,29,28,-212,12,20,0.38,1.035714286,0,-6.34
179,AUDUSD,1,0.0001,29,29,-203,12,19,0.39,1,0,-6.38
180,AUDUSD,1,0.0001,30,11,-205,17,65,0.21,2.727272727,0,-2.39
181,AUDUSD,1,0.0001,30,12,-210,17,60,0.22,2.5,0,-2.76
182,AUDUSD,1,0.0001,30,13,-201,18,57,0.24,2.307692308,0,-2.68
183,AUDUSD,1,0.0001,30,14,-202,18,53,0.25,2.142857143,0,-3
184,AUDUSD,1,0.0001,30,15,-210,17,48,0.26,2,0,-3.3
185,AUDUSD,1,0.0001,30,16,-224,16,44,0.27,1.875,0,-3.58
186,AUDUSD,1,0.0001,30,17,-209,14,37,0.27,1.764705882,0,-4.31
187,AUDUSD,1,0.0001,30,18,-216,15,37,0.29,1.666666667,0,-4.08
188,AUDUSD,1,0.0001,30,19,-214,22,46,0.32,1.578947368,0,-3.32
189,AUDUSD,1,0.0001,30,20,-210,15,33,0.31,1.5,0,-4.5
190,AUDUSD,1,0.0001,30,21,-201,162,241,0.4,1.428571429,0,-0.6
191,AUDUSD,1,0.0001,30,22,-206,164,233,0.41,1.363636364,0,-0.68
192,AUDUSD,1,0.0001,30,23,-201,83,117,0.41,1.304347826,0,-1.27
193,AUDUSD,1,0.0001,30,24,-222,127,168,0.43,1.25,0,-0.78
194,AUDUSD,1,0.0001,30,25,-205,49,67,0.42,1.2,0,-1.9
195,AUDUSD,1,0.0001,30,26,10,165,190,0.46,1.153846154,5.307692308,-0.24
196,AUDUSD,1,0.0001,30,27,-207,39,51,0.43,1.111111111,0,-2.49
197,AUDUSD,1,0.0001,30,28,-218,17,26,0.4,1.071428571,0,-4.8
198,AUDUSD,1,0.0001,30,29,-220,41,50,0.45,1.034482759,0,-2.45
199,AUDUSD,1,0.0001,30,30,-210,16,23,0.41,1,0,-5.4
200,AUDUSD,1,0.0001,31,11,-202,24,86,0.22,2.818181818,0,-1.76
201,AUDUSD,1,0.0001,31,12,-212,16,59,0.21,2.583333333,0,-2.97
202,AUDUSD,1,0.0001,31,13,-201,17,56,0.23,2.384615385,0,-2.88
203,AUDUSD,1,0.0001,31,14,-204,16,50,0.24,2.214285714,0,-3.2
204,AUDUSD,1,0.0001,31,15,-201,24,63,0.28,2.066666667,0,-2.12
205,AUDUSD,1,0.0001,31,16,-213,21,54,0.28,1.9375,0,-2.84
206,AUDUSD,1,0.0001,31,17,-212,14,38,0.27,1.823529412,0,-4.04
207,AUDUSD,1,0.0001,31,18,-201,15,37,0.29,1.722222222,0,-3.79
208,AUDUSD,1,0.0001,31,19,-204,21,45,0.32,1.631578947,0,-3
209,AUDUSD,1,0.0001,31,20,-211,19,40,0.32,1.55,0,-3.68
210,AUDUSD,1,0.0001,31,21,-190,170,260,0.4,1.476190476,-112.1904762,-0.2
211,AUDUSD,1,0.0001,31,22,-201,51,81,0.39,1.409090909,0,-1.33
212,AUDUSD,1,0.0001,31,23,-211,126,179,0.41,1.347826087,0,-0.86
213,AUDUSD,1,0.0001,31,24,-28,164,213,0.44,1.291666667,-15.91333333,0.2
214,AUDUSD,1,0.0001,31,25,-223,117,154,0.43,1.24,0,-0.92
215,AUDUSD,1,0.0001,31,26,-205,37,52,0.42,1.192307692,0,-2.06
216,AUDUSD,1,0.0001,31,27,-222,39,53,0.42,1.148148148,0,-2.64
217,AUDUSD,1,0.0001,31,28,-201,17,26,0.4,1.107142857,0,-4.4
218,AUDUSD,1,0.0001,31,29,-206,42,52,0.45,1.068965517,0,-2
219,AUDUSD,1,0.0001,31,30,-201,39,47,0.45,1.033333333,0,-2.55
220,AUDUSD,1,0.0001,31,31,-217,39,46,0.46,1,0,-2.48
221,AUDUSD,1,0.0001,32,11,-207,31,109,0.22,2.909090909,0,-1.54
222,AUDUSD,1,0.0001,32,12,-204,30,97,0.24,2.666666667,0,-1.44
223,AUDUSD,1,0.0001,32,13,-211,32,95,0.25,2.461538462,0,-1.75
224,AUDUSD,1,0.0001,32,14,-204,26,74,0.26,2.285714286,0,-2.04
225,AUDUSD,1,0.0001,32,15,-209,23,63,0.27,2.133333333,0,-2.31
226,AUDUSD,1,0.0001,32,16,-208,20,53,0.27,2,0,-3.04
227,AUDUSD,1,0.0001,32,17,-217,15,41,0.27,1.882352941,0,-3.77
228,AUDUSD,1,0.0001,32,18,-202,19,45,0.3,1.777777778,0,-3
229,AUDUSD,1,0.0001,32,19,-215,20,45,0.31,1.684210526,0,-3.19
230,AUDUSD,1,0.0001,32,20,-212,19,41,0.32,1.6,0,-3.36
231,AUDUSD,1,0.0001,32,21,-217,28,53,0.35,1.523809524,0,-2.45
232,AUDUSD,1,0.0001,32,22,-218,20,39,0.34,1.454545455,0,-3.64
233,AUDUSD,1,0.0001,32,23,-215,17,33,0.34,1.391304348,0,-4.3
234,AUDUSD,1,0.0001,32,24,176,157,202,0.44,1.333333333,103.2533333,0.64
235,AUDUSD,1,0.0001,32,25,-213,16,29,0.36,1.28,0,-4.48
236,AUDUSD,1,0.0001,32,26,-202,14,25,0.36,1.230769231,0,-5.12
237,AUDUSD,1,0.0001,32,27,-222,15,26,0.37,1.185185185,0,-5.17
238,AUDUSD,1,0.0001,32,28,-228,41,55,0.43,1.142857143,0,-2.2
239,AUDUSD,1,0.0001,32,29,-228,40,52,0.43,1.103448276,0,-2.77
240,AUDUSD,1,0.0001,32,30,-228,36,46,0.44,1.066666667,0,-2.72
241,AUDUSD,1,0.0001,32,31,-210,38,46,0.45,1.032258065,0,-2.65
242,AUDUSD,1,0.0001,32,32,-224,14,21,0.4,1,0,-6.4
243,AUDUSD,1,0.0001,33,11,-209,13,58,0.18,3,0,-3.08
244,AUDUSD,1,0.0001,33,12,-207,17,64,0.21,2.75,0,-2.55
245,AUDUSD,1,0.0001,33,13,-212,18,62,0.23,2.538461538,0,-2.42
246,AUDUSD,1,0.0001,33,14,-214,16,53,0.23,2.357142857,0,-3.19
247,AUDUSD,1,0.0001,33,15,-207,16,49,0.25,2.2,0,-3
248,AUDUSD,1,0.0001,33,16,-209,15,44,0.25,2.0625,0,-3.75
249,AUDUSD,1,0.0001,33,17,-216,12,36,0.25,1.941176471,0,-4.5
250,AUDUSD,1,0.0001,33,18,-210,16,41,0.28,1.833333333,0,-3.72
251,AUDUSD,1,0.0001,33,19,-204,18,42,0.3,1.736842105,0,-3.4
252,AUDUSD,1,0.0001,33,20,-219,17,39,0.3,1.65,0,-4.1
253,AUDUSD,1,0.0001,33,21,-204,18,38,0.32,1.571428571,0,-3.72
254,AUDUSD,1,0.0001,33,22,-209,17,35,0.33,1.5,0,-3.85
255,AUDUSD,1,0.0001,33,23,-211,18,35,0.34,1.434782609,0,-3.96
256,AUDUSD,1,0.0001,33,24,-201,15,29,0.34,1.375,0,-4.62
257,AUDUSD,1,0.0001,33,25,-220,110,154,0.42,1.32,0,-0.64
258,AUDUSD,1,0.0001,33,26,-214,14,26,0.35,1.269230769,0,-5.35
259,AUDUSD,1,0.0001,33,27,-213,14,25,0.36,1.222222222,0,-5.4
260,AUDUSD,1,0.0001,33,28,-205,15,25,0.38,1.178571429,0,-4.82
261,AUDUSD,1,0.0001,33,29,-209,13,22,0.37,1.137931034,0,-6.06
262,AUDUSD,1,0.0001,33,30,-204,12,20,0.38,1.1,0,-6.06
263,AUDUSD,1,0.0001,33,31,-230,9,17,0.35,1.064516129,0,-8.6
264,AUDUSD,1,0.0001,33,32,-215,9,16,0.36,1.03125,0,-8.6
265,AUDUSD,1,0.0001,33,33,-231,21,28,0.43,1,0,-4.62
266,AUDUSD,1,0.0001,34,11,-219,12,57,0.17,3.090909091,0,-3.35
267,AUDUSD,1,0.0001,34,12,-204,12,51,0.19,2.833333333,0,-3.26
268,AUDUSD,1,0.0001,34,13,-208,13,50,0.21,2.615384615,0,-3.13
269,AUDUSD,1,0.0001,34,14,-208,12,44,0.21,2.428571429,0,-3.92
270,AUDUSD,1,0.0001,34,15,-222,12,42,0.22,2.266666667,0,-4.22
271,AUDUSD,1,0.0001,34,16,-230,13,42,0.24,2.125,0,-4
272,AUDUSD,1,0.0001,34,17,-204,8,28,0.22,2,0,-5.78
273,AUDUSD,1,0.0001,34,18,-202,11,32,0.26,1.888888889,0,-4.48
274,AUDUSD,1,0.0001,34,19,-216,16,40,0.29,1.789473684,0,-3.63
275,AUDUSD,1,0.0001,34,20,-206,21,46,0.31,1.7,0,-3.26
276,AUDUSD,1,0.0001,34,21,-211,50,91,0.35,1.619047619,0,-1.75
277,AUDUSD,1,0.0001,34,22,-214,17,36,0.32,1.545454545,0,-4.08
278,AUDUSD,1,0.0001,34,23,-216,18,36,0.33,1.47826087,0,-4.19
279,AUDUSD,1,0.0001,34,24,-210,15,30,0.33,1.416666667,0,-4.86
280,AUDUSD,1,0.0001,34,25,137,143,189,0.43,1.36,80.1176,0.37
281,AUDUSD,1,0.0001,34,26,-226,14,27,0.34,1.307692308,0,-5.6
282,AUDUSD,1,0.0001,34,27,-226,14,26,0.35,1.259259259,0,-5.65
283,AUDUSD,1,0.0001,34,28,-220,38,54,0.41,1.214285714,0,-2.58
284,AUDUSD,1,0.0001,34,29,-226,36,50,0.42,1.172413793,0,-2.54
285,AUDUSD,1,0.0001,34,30,-214,14,23,0.38,1.133333333,0,-5.68
286,AUDUSD,1,0.0001,34,31,-207,86,101,0.46,1.096774194,0,-1.1
287,AUDUSD,1,0.0001,34,32,-230,13,21,0.38,1.0625,0,-6.92
288,AUDUSD,1,0.0001,34,33,-230,67,76,0.47,1.03030303,0,-1.51
289,AUDUSD,1,0.0001,34,34,-204,67,73,0.48,1,0,-1.36
290,AUDUSD,1,0.0001,35,11,-207,12,57,0.17,3.181818182,0,-3.18
291,AUDUSD,1,0.0001,35,12,-204,12,52,0.19,2.916666667,0,-3.07
292,AUDUSD,1,0.0001,35,13,-208,13,51,0.2,2.692307692,0,-3.4
293,AUDUSD,1,0.0001,35,14,-210,12,45,0.21,2.5,0,-3.71
294,AUDUSD,1,0.0001,35,15,-210,12,42,0.22,2.333333333,0,-4
295,AUDUSD,1,0.0001,35,16,-213,9,33,0.21,2.1875,0,-5.29
296,AUDUSD,1,0.0001,35,17,-213,8,29,0.22,2.058823529,0,-5.56
297,AUDUSD,1,0.0001,35,18,-226,10,32,0.24,1.944444444,0,-5.28
298,AUDUSD,1,0.0001,35,19,-216,15,39,0.28,1.842105263,0,-3.88
299,AUDUSD,1,0.0001,35,20,-220,20,46,0.3,1.75,0,-3.5
300,AUDUSD,1,0.0001,35,21,-217,40,77,0.34,1.666666667,0,-1.96
301,AUDUSD,1,0.0001,35,22,-210,16,35,0.31,1.590909091,0,-4.33
302,AUDUSD,1,0.0001,35,23,-215,30,55,0.35,1.52173913,0,-2.7
303,AUDUSD,1,0.0001,35,24,-217,13,28,0.32,1.458333333,0,-5.12
304,AUDUSD,1,0.0001,35,25,-210,44,70,0.39,1.4,0,-1.6
305,AUDUSD,1,0.0001,35,26,-212,14,27,0.34,1.346153846,0,-5.26
306,AUDUSD,1,0.0001,35,27,-212,14,26,0.35,1.296296296,0,-5.3
307,AUDUSD,1,0.0001,35,28,-203,35,51,0.41,1.25,0,-2.17
308,AUDUSD,1,0.0001,35,29,-226,30,44,0.41,1.206896552,0,-2.76
309,AUDUSD,1,0.0001,35,30,-210,30,42,0.42,1.166666667,0,-2.7
310,AUDUSD,1,0.0001,35,31,-217,31,42,0.42,1.129032258,0,-3.28
311,AUDUSD,1,0.0001,35,32,-217,13,21,0.38,1.09375,0,-6.54
312,AUDUSD,1,0.0001,35,33,-231,33,42,0.44,1.060606061,0,-3.08
313,AUDUSD,1,0.0001,35,34,-228,78,87,0.47,1.029411765,0,-1.57
314,AUDUSD,1,0.0001,35,35,-210,76,82,0.48,1,0,-1.4
315,AUDUSD,1,0.0001,36,11,-209,11,55,0.17,3.272727273,0,-3.01
316,AUDUSD,1,0.0001,36,12,-204,17,68,0.2,3,0,-2.4
317,AUDUSD,1,0.0001,36,13,-205,12,49,0.2,2.769230769,0,-3.2
318,AUDUSD,1,0.0001,36,14,-206,11,43,0.2,2.571428571,0,-4
319,AUDUSD,1,0.0001,36,15,-204,11,40,0.22,2.4,0,-3.78
320,AUDUSD,1,0.0001,36,16,-208,8,31,0.21,2.25,0,-5.08
