,Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,ATTR
0,AUDUSD,1,0.0001,15,11,-208,69,113,0.38,1.363636364,0,-1.12
1,AUDUSD,1,0.0001,15,12,-207,67,101,0.4,1.25,0,-1.2
2,AUDUSD,1,0.0001,15,13,-202,68,94,0.42,1.153846154,0,-1.24
3,AUDUSD,1,0.0001,15,14,-203,77,97,0.44,1.071428571,0,-1.24
4,AUDUSD,1,0.0001,15,15,-210,82,96,0.46,1,0,-1.2
5,AUDUSD,1,0.0001,16,11,-204,56,100,0.36,1.454545455,0,-1.28
6,AUDUSD,1,0.0001,16,12,-212,52,87,0.37,1.333333333,0,-1.64
7,AUDUSD,1,0.0001,16,13,-205,53,81,0.4,1.230769231,0,-1.4
8,AUDUSD,1,0.0001,16,14,-212,76,102,0.43,1.142857143,0,-1.1
9,AUDUSD,1,0.0001,16,15,-203,67,85,0.44,1.066666667,0,-1.36
10,AUDUSD,1,0.0001,16,16,-208,67,80,0.46,1,0,-1.28
11,AUDUSD,1,0.0001,17,11,-206,50,96,0.34,1.545454545,0,-1.48
12,AUDUSD,1,0.0001,17,12,-204,48,85,0.36,1.416666667,0,-1.56
13,AUDUSD,1,0.0001,17,13,-207,36,63,0.36,1.307692308,0,-2.2
14,AUDUSD,1,0.0001,17,14,-213,55,82,0.4,1.214285714,0,-1.6
15,AUDUSD,1,0.0001,17,15,-209,53,74,0.42,1.133333333,0,-1.56
16,AUDUSD,1,0.0001,17,16,-203,53,69,0.43,1.0625,0,-1.81
17,AUDUSD,1,0.0001,17,17,-204,54,66,0.45,1,0,-1.7
18,AUDUSD,1,0.0001,18,11,-203,48,97,0.33,1.636363636,0,-1.43
19,AUDUSD,1,0.0001,18,12,-210,41,79,0.34,1.5,0,-1.8
20,AUDUSD,1,0.0001,18,13,-212,33,62,0.35,1.384615385,0,-2.15
21,AUDUSD,1,0.0001,18,14,-212,31,55,0.36,1.285714286,0,-2.48
22,AUDUSD,1,0.0001,18,15,-213,29,49,0.37,1.2,0,-2.79
23,AUDUSD,1,0.0001,18,16,-212,30,47,0.39,1.125,0,-2.74
24,AUDUSD,1,0.0001,18,17,-202,36,50,0.42,1.058823529,0,-2.3
25,AUDUSD,1,0.0001,18,18,-216,36,48,0.43,1,0,-2.52
26,AUDUSD,1,0.0001,19,11,-203,64,129,0.33,1.727272727,0,-1.1
27,AUDUSD,1,0.0001,19,12,-207,63,117,0.35,1.583333333,0,-1.15
28,AUDUSD,1,0.0001,19,13,-201,38,71,0.35,1.461538462,0,-1.8
29,AUDUSD,1,0.0001,19,14,-205,43,73,0.37,1.357142857,0,-1.79
