,Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score
0,AUDUSD,30,0.0001,15,11,-206,86,136,0.39,1.363636364,0
1,AUDUSD,30,0.0001,15,12,219,177,203,0.47,1.25,128.6625
2,AUDUSD,30,0.0001,15,13,135,178,195,0.48,1.153846154,74.76923077
3,AUDUSD,30,0.0001,15,14,196,182,181,0.5,1.071428571,105
4,AUDUSD,30,0.0001,15,15,195,184,171,0.52,1,101.4
5,AUDUSD,30,0.0001,16,11,-38,153,226,0.4,1.454545455,-22.10909091
6,AUDUSD,30,0.0001,16,12,64,160,208,0.43,1.333333333,36.69333333
7,AUDUSD,30,0.0001,16,13,-37,161,201,0.44,1.230769231,-20.03692308
8,AUDUSD,30,0.0001,16,14,22,165,187,0.47,1.142857143,11.81714286
9,AUDUSD,30,0.0001,16,15,33,168,177,0.49,1.066666667,17.248
10,AUDUSD,30,0.0001,16,16,-208,95,108,0.47,1,0
11,AUDUSD,30,0.0001,17,11,-205,74,133,0.36,1.545454545,0
12,AUDUSD,30,0.0001,17,12,30,150,210,0.42,1.416666667,17.85
13,AUDUSD,30,0.0001,17,13,-204,79,119,0.4,1.307692308,0
14,AUDUSD,30,0.0001,17,14,-202,82,114,0.42,1.214285714,0
15,AUDUSD,30,0.0001,17,15,-209,83,108,0.43,1.133333333,0
16,AUDUSD,30,0.0001,17,16,-206,82,100,0.45,1.0625,0
17,AUDUSD,30,0.0001,17,17,-204,86,98,0.47,1,0
18,AUDUSD,30,0.0001,18,11,5,139,227,0.38,1.636363636,3.109090909
19,AUDUSD,30,0.0001,18,12,192,148,206,0.42,1.5,120.96
20,AUDUSD,30,0.0001,18,13,113,150,199,0.43,1.384615385,67.27846154
21,AUDUSD,30,0.0001,18,14,-202,9,26,0.26,1.285714286,0
22,AUDUSD,30,0.0001,18,15,147,154,175,0.47,1.2,82.908
23,AUDUSD,30,0.0001,18,16,-204,82,105,0.44,1.125,0
24,AUDUSD,30,0.0001,18,17,91,159,163,0.49,1.058823529,47.21294118
25,AUDUSD,30,0.0001,18,18,72,159,155,0.51,1,36.72
26,AUDUSD,30,0.0001,19,11,-204,57,117,0.33,1.727272727,0
27,AUDUSD,30,0.0001,19,12,107,137,208,0.4,1.583333333,67.76666667
28,AUDUSD,30,0.0001,19,13,-201,12,33,0.27,1.461538462,0
29,AUDUSD,30,0.0001,19,14,-206,12,31,0.28,1.357142857,0
30,AUDUSD,30,0.0001,19,15,-214,74,108,0.41,1.266666667,0
31,AUDUSD,30,0.0001,19,16,-215,67,93,0.42,1.1875,0
32,AUDUSD,30,0.0001,19,17,-203,77,98,0.44,1.117647059,0
33,AUDUSD,30,0.0001,19,18,-210,78,94,0.45,1.055555556,0
