Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,ATTR
AUDUSD,25,0.0001,67,11,879,43,182,0.19,6.090909091,1017.242727,3.82
AUDUSD,25,0.0001,65,11,760,43,185,0.19,5.909090909,853.2727273,3.44
AUDUSD,25,0.0001,66,11,748,42,184,0.19,6,852.72,3.63
AUDUSD,25,0.0001,64,11,706,43,186,0.19,5.818181818,780.4509091,3.25
AUDUSD,25,0.0001,63,11,641,43,188,0.19,5.727272727,697.5245455,3.06
AUDUSD,25,0.0001,59,11,639,47,194,0.2,5.363636364,685.4727273,3
AUDUSD,25,0.0001,67,12,645,39,164,0.19,5.583333333,684.2375,3.01
AUDUSD,25,0.0001,63,17,688,46,130,0.26,3.705882353,662.9082353,3.8
AUDUSD,25,0.0001,56,17,707,53,133,0.28,3.294117647,652.1035294,3.44
AUDUSD,25,0.0001,57,17,680,51,131,0.28,3.352941176,638.4,3.72
AUDUSD,25,0.0001,58,18,676,52,130,0.29,3.222222222,631.6844444,4.04
AUDUSD,25,0.0001,59,18,687,51,129,0.28,3.277777778,630.5133333,3.56
AUDUSD,25,0.0001,59,17,672,50,134,0.27,3.470588235,629.7035294,3.52
AUDUSD,25,0.0001,36,12,696,84,194,0.3,3,626.4,2.4
AUDUSD,25,0.0001,68,11,593,38,181,0.17,6.181818182,623.1890909,2.43
AUDUSD,25,0.0001,52,11,622,53,194,0.21,4.727272727,617.4763636,2.23
AUDUSD,25,0.0001,74,11,572,33,170,0.16,6.727272727,615.68,2.6
AUDUSD,25,0.0001,58,17,656,50,132,0.27,3.411764706,604.2917647,3.25
AUDUSD,25,0.0001,56,11,587,48,191,0.2,5.090909091,597.6727273,2.4
AUDUSD,25,0.0001,63,18,630,48,133,0.27,3.5,595.35,3.87
AUDUSD,25,0.0001,54,11,577,50,193,0.21,4.909090909,594.8345455,2.65
AUDUSD,25,0.0001,65,65,975,42,27,0.61,1,594.75,14.3
AUDUSD,25,0.0001,62,17,625,46,131,0.26,3.647058824,592.6470588,3.54
AUDUSD,25,0.0001,57,18,642,52,129,0.29,3.166666667,589.57,3.75
AUDUSD,25,0.0001,50,11,583,55,197,0.22,4.545454545,583,2.42
AUDUSD,25,0.0001,55,11,583,49,192,0.2,5,583,2.2
AUDUSD,25,0.0001,58,11,581,47,195,0.19,5.272727273,582.0563636,2.11
AUDUSD,25,0.0001,36,11,634,83,214,0.28,3.272727273,580.9745455,2.16
AUDUSD,25,0.0001,57,11,556,47,193,0.2,5.181818182,576.2181818,2.6
AUDUSD,25,0.0001,53,11,569,51,194,0.21,4.818181818,575.7245455,2.44
AUDUSD,25,0.0001,69,11,529,37,184,0.17,6.272727273,564.1063636,2.6
AUDUSD,25,0.0001,62,11,554,43,192,0.18,5.636363636,562.0581818,2.14
AUDUSD,25,0.0001,55,17,620,53,135,0.28,3.235294118,561.6470588,3.16
AUDUSD,25,0.0001,60,18,624,50,132,0.27,3.333333333,561.6,3.06
AUDUSD,25,0.0001,56,18,610,53,131,0.29,3.111111111,550.3555556,3.46
AUDUSD,25,0.0001,50,17,620,60,140,0.3,2.941176471,547.0588235,3.1
AUDUSD,25,0.0001,62,18,582,48,133,0.27,3.444444444,541.26,3.6
AUDUSD,25,0.0001,66,12,516,38,166,0.19,5.5,539.22,2.82
AUDUSD,25,0.0001,47,11,548,58,198,0.23,4.272727273,538.5345455,2.34
AUDUSD,25,0.0001,48,11,558,57,198,0.22,4.363636364,535.68,1.98
AUDUSD,25,0.0001,64,18,576,45,128,0.26,3.555555556,532.48,3.32
AUDUSD,25,0.0001,75,11,488,31,167,0.16,6.818181818,532.3636364,2.76
AUDUSD,25,0.0001,35,12,599,85,198,0.3,2.916666667,524.125,2.1
AUDUSD,25,0.0001,67,17,554,41,129,0.24,3.941176471,524.0188235,3.16
